#data counter step time
1 1 17 0
1 2 67 12
1 3 85 18
1 4 209 61
1 5 229 72
1 6 239 76
1 7 283 96
1 8 334 112
1 9 353 117
1 10 361 121
1 11 379 125
1 12 380 125
1 13 383 126
1 14 454 150
1 15 463 154
1 16 513 171
1 17 526 176
1 18 583 199
1 19 645 219
1 20 647 220
1 21 661 225
1 22 688 232
1 23 711 240
1 24 724 243
1 25 780 259
1 26 783 260
1 27 901 287
1 28 920 295
1 29 953 313
1 30 980 321
1 31 1026 335
1 32 1046 341
1 33 1083 353
1 34 1112 365
1 35 1130 370
1 36 1147 378
1 37 1149 378
1 38 1158 381
1 39 1175 385
1 40 1273 421
1 41 1282 425
1 42 1304 432
1 43 1313 436
1 44 1328 439
1 45 1374 453
1 46 1412 472
1 47 1429 480
1 48 1432 480
1 49 1448 487
1 50 1465 496
1 51 1474 499
1 52 1517 516
1 53 1540 524
1 54 1573 536
1 55 1646 557
1 56 1656 559
1 57 1661 561
1 58 1667 562
1 59 1730 587
1 60 1743 592
1 61 1764 600
1 62 1791 609
1 63 1795 609
1 64 1804 612
1 65 1820 619
1 66 1852 627
1 67 1890 638
1 68 1900 642
1 69 1937 653
1 70 1995 671
1 71 2104 710
1 72 2146 725
1 73 2193 745
1 74 2261 772
1 75 2284 781
1 76 2289 783
1 77 2301 787
1 78 2358 804
1 79 2473 852
1 80 2502 860
1 81 2542 877
1 82 2544 877
1 83 2591 890
1 84 2598 892
1 85 2650 910
1 86 2677 918
1 87 2712 931
1 88 2760 949
1 89 2778 953
1 90 2795 958
1 91 2800 960
1 92 2806 962
1 93 2909 996
1 94 2918 998
1 95 2957 1011
1 96 2981 1021
1 97 3001 1028
1 98 3048 1042
1 99 3078 1051
1 100 3113 1067
1 101 3127 1072
1 102 3228 1098
1 103 3245 1105
1 104 3272 1112
1 105 3314 1121
1 106 3345 1129
1 107 3351 1132
1 108 3358 1133
1 109 3405 1150
1 110 3423 1156
1 111 3459 1167
1 112 3502 1179
1 113 3512 1180
1 114 3531 1187
1 115 3621 1216
1 116 3658 1230
1 117 3663 1233
1 118 3675 1236
1 119 3698 1242
1 120 3709 1245
1 121 3737 1254
1 122 3788 1269
1 123 3793 1270
1 124 3807 1274
1 125 3844 1287
1 126 3858 1291
1 127 3876 1297
1 128 3903 1305
1 129 3917 1310
1 130 3937 1317
1 131 3956 1324
1 132 3958 1324
1 133 3994 1339
1 134 4037 1351
1 135 4056 1359
1 136 4075 1363
1 137 4137 1381
1 138 4194 1395
1 139 4257 1415
1 140 4262 1418
1 141 4273 1421
1 142 4317 1435
1 143 4333 1439
1 144 4418 1463
1 145 4432 1470
1 146 4450 1476
1 147 4473 1484
1 148 4493 1490
1 149 4502 1494
1 150 4580 1519
1 151 4592 1525
1 152 4626 1539
1 153 4663 1548
1 154 4721 1564
1 155 4789 1588
1 156 4841 1605
1 157 4881 1622
1 158 4888 1626
1 159 4911 1630
1 160 4937 1637
