#data counter step time
1 1 20 0
1 2 32 1
1 3 90 22
1 4 206 60
1 5 342 114
1 6 469 155
1 7 474 158
1 8 483 160
1 9 495 162
1 10 760 253
1 11 829 269
1 12 833 271
1 13 843 273
1 14 873 279
1 15 1197 393
1 16 1651 558
1 17 1698 577
1 18 1716 582
1 19 1885 636
1 20 1951 657
1 21 1992 671
1 22 2021 683
1 23 2058 694
1 24 2164 732
1 25 2178 737
1 26 2225 756
1 27 2384 819
1 28 2436 842
1 29 2484 856
1 30 2496 859
1 31 2654 911
1 32 2665 914
1 33 2733 939
1 34 2743 941
1 35 2747 944
1 36 2769 952
1 37 2824 967
1 38 2830 970
1 39 2874 982
1 40 2904 994
1 41 3107 1064
1 42 3161 1080
1 43 3259 1108
1 44 3281 1113
1 45 3371 1136
1 46 3451 1165
1 47 3495 1178
1 48 3541 1189
1 49 3568 1199
1 50 3656 1229
1 51 3758 1261
1 52 3812 1275
1 53 3851 1289
1 54 4123 1378
1 55 4522 1499
1 56 4679 1553
1 57 4698 1559
1 58 4795 1590
1 59 4849 1606
1 60 4925 1633
