#data counter step time
1 1 179 50
1 2 190 52
1 3 211 61
1 4 231 72
1 5 241 76
1 6 749 251
1 7 755 253
1 8 767 255
1 9 773 257
1 10 781 259
1 11 790 261
1 12 800 263
1 13 807 265
1 14 813 267
1 15 825 269
1 16 837 271
1 17 848 273
1 18 856 275
1 19 865 277
1 20 867 279
1 21 881 281
1 22 890 283
1 23 891 285
1 24 898 287
1 25 908 289
1 26 913 291
1 27 921 295
1 28 1413 472
1 29 1415 474
1 30 1420 476
1 31 1426 478
1 32 1428 480
1 33 1436 482
1 34 1440 484
1 35 1444 486
1 36 1450 488
1 37 1452 490
1 38 1458 492
1 39 1459 494
1 40 1463 496
1 41 1471 498
1 42 1479 500
1 43 1486 502
1 44 1492 504
1 45 1496 506
1 46 1501 508
1 47 1504 510
1 48 1505 512
1 49 1512 514
1 50 1518 516
1 51 1523 518
1 52 2003 675
1 53 2007 677
1 54 2010 679
1 55 2013 681
1 56 2018 683
1 57 2035 685
1 58 2038 687
1 59 2043 689
1 60 2049 691
1 61 2051 693
1 62 2062 695
1 63 2066 697
1 64 2077 699
1 65 2082 701
1 66 2085 703
1 67 2088 705
1 68 2095 707
1 69 2100 709
1 70 2108 711
1 71 2550 879
1 72 2561 881
1 73 2568 883
1 74 2573 885
1 75 2578 887
1 76 2588 889
1 77 2593 891
1 78 2600 893
1 79 2608 895
1 80 2613 897
1 81 2616 899
1 82 2622 901
1 83 2627 903
1 84 2652 910
1 85 2679 918
1 86 3154 1079
1 87 3163 1081
1 88 3172 1083
1 89 3176 1085
1 90 3193 1087
1 91 3198 1089
1 92 3210 1091
1 93 3216 1093
1 94 3220 1095
1 95 3222 1097
1 96 3234 1099
1 97 3237 1101
1 98 3240 1103
1 99 3247 1105
1 100 3251 1107
1 101 3263 1109
1 102 3266 1111
1 103 3277 1113
1 104 3315 1121
1 105 3347 1129
1 106 3353 1132
1 107 3360 1134
1 108 3404 1150
1 109 4069 1361
1 110 4074 1363
1 111 4080 1365
1 112 4085 1367
1 113 4089 1369
1 114 4097 1371
1 115 4110 1373
1 116 4116 1375
1 117 4120 1377
1 118 4130 1379
1 119 4138 1381
1 120 4146 1383
1 121 4156 1385
1 122 4164 1387
1 123 4176 1389
1 124 4181 1391
1 125 4187 1393
1 126 4196 1395
1 127 4209 1397
1 128 4213 1399
1 129 4218 1401
1 130 4219 1403
1 131 4229 1405
1 132 4764 1582
1 133 4775 1584
1 134 4782 1586
1 135 4786 1588
1 136 4796 1590
1 137 4798 1592
1 138 4804 1594
1 139 4806 1596
1 140 4814 1598
1 141 4818 1600
1 142 4830 1602
1 143 4835 1604
1 144 4846 1606
1 145 4853 1608
1 146 4855 1610
1 147 4862 1612
1 148 4865 1614
1 149 4871 1616
1 150 4875 1618
1 151 4877 1620
1 152 4879 1622
1 153 4882 1624
1 154 4886 1626
1 155 4892 1628
1 156 4904 1630
1 157 4914 1632
1 158 4928 1634
1 159 4939 1637
