#data counter step time
1 1 183 50
1 2 195 55
1 3 205 60
1 4 750 251
1 5 769 256
1 6 788 261
1 7 812 266
1 8 839 271
1 9 863 276
1 10 882 281
1 11 895 286
1 12 912 291
1 13 922 296
1 14 1410 472
1 15 2001 675
1 16 2011 680
1 17 2034 685
1 18 2045 690
1 19 2059 695
1 20 2079 700
1 21 2090 705
1 22 2103 710
1 23 2551 879
1 24 2569 884
1 25 2587 889
1 26 2605 894
1 27 2615 899
1 28 2633 904
1 29 2646 909
1 30 2668 914
1 31 2681 919
1 32 3152 1079
1 33 3175 1084
1 34 3199 1089
1 35 3219 1094
1 36 3235 1099
1 37 3243 1104
1 38 3264 1109
1 39 3287 1114
1 40 3304 1119
1 41 3325 1124
1 42 3343 1129
1 43 3361 1134
1 44 3381 1139
1 45 4070 1361
1 46 4083 1366
1 47 4099 1371
1 48 4119 1376
1 49 4141 1381
1 50 4160 1386
1 51 4183 1391
1 52 4199 1396
1 53 4215 1401
1 54 4766 1582
1 55 4784 1587
1 56 4797 1592
1 57 4811 1597
1 58 4851 1606
1 59 4927 1633
