#data counter step time
1 1 66 12
1 2 86 18
1 3 210 61
1 4 230 72
1 5 238 76
1 6 284 96
1 7 335 112
1 8 352 117
1 9 359 121
1 10 376 125
1 11 381 125
1 12 382 126
1 13 451 150
1 14 462 154
1 15 515 171
1 16 527 176
1 17 582 199
1 18 642 219
1 19 652 220
1 20 660 225
1 21 686 232
1 22 714 240
1 23 722 243
1 24 782 259
1 25 785 260
1 26 899 287
1 27 919 295
1 28 956 313
1 29 982 321
1 30 1024 335
1 31 1048 341
1 32 1079 353
1 33 1116 365
1 34 1131 370
1 35 1150 378
1 36 1151 378
1 37 1160 381
1 38 1173 385
1 39 1272 421
1 40 1283 425
1 41 1303 432
1 42 1312 436
1 43 1326 439
1 44 1372 453
1 45 1411 472
1 46 1430 480
1 47 1431 480
1 48 1445 487
1 49 1461 496
1 50 1476 499
1 51 1519 516
1 52 1536 524
1 53 1574 536
1 54 1648 557
1 55 1654 559
1 56 1662 561
1 57 1668 562
1 58 1731 587
1 59 1744 592
1 60 1762 600
1 61 1792 609
1 62 1796 609
1 63 1803 612
1 64 1822 619
1 65 1843 627
1 66 1889 638
1 67 1901 642
1 68 1939 653
1 69 1994 671
1 70 2106 710
1 71 2144 725
1 72 2194 745
1 73 2259 772
1 74 2285 781
1 75 2290 783
1 76 2303 787
1 77 2357 804
1 78 2472 852
1 79 2505 860
1 80 2541 877
1 81 2543 877
1 82 2589 890
1 83 2597 892
1 84 2651 910
1 85 2678 918
1 86 2711 931
1 87 2761 949
1 88 2779 953
1 89 2794 958
1 90 2802 960
1 91 2808 962
1 92 2910 996
1 93 2917 998
1 94 2956 1011
1 95 2980 1021
1 96 2999 1028
1 97 3045 1042
1 98 3075 1051
1 99 3112 1067
1 100 3126 1072
1 101 3227 1098
1 102 3246 1105
1 103 3275 1112
1 104 3312 1121
1 105 3344 1129
1 106 3352 1132
1 107 3359 1133
1 108 3402 1150
1 109 3422 1156
1 110 3457 1167
1 111 3505 1179
1 112 3508 1180
1 113 3533 1187
1 114 3622 1216
1 115 3657 1230
1 116 3664 1233
1 117 3673 1236
1 118 3697 1242
1 119 3706 1245
1 120 3738 1254
1 121 3791 1269
1 122 3794 1270
1 123 3805 1274
1 124 3846 1287
1 125 3859 1291
1 126 3877 1297
1 127 3905 1305
1 128 3916 1310
1 129 3935 1317
1 130 3959 1324
1 131 3960 1324
1 132 3996 1339
1 133 4038 1351
1 134 4062 1359
1 135 4073 1363
1 136 4136 1381
1 137 4195 1395
1 138 4256 1415
1 139 4265 1418
1 140 4271 1421
1 141 4319 1435
1 142 4332 1439
1 143 4419 1463
1 144 4434 1470
1 145 4452 1476
1 146 4475 1484
1 147 4492 1490
1 148 4498 1494
1 149 4577 1519
1 150 4589 1525
1 151 4624 1539
1 152 4666 1548
1 153 4720 1564
1 154 4787 1588
1 155 4842 1605
1 156 4880 1622
1 157 4887 1626
1 158 4910 1630
1 159 4936 1637
