#data counter step time
1 1 31 1
1 2 89 22
1 3 203 60
1 4 346 114
1 5 466 155
1 6 475 158
1 7 488 160
1 8 496 162
1 9 759 253
1 10 824 269
1 11 834 271
1 12 846 273
1 13 868 279
1 14 1196 393
1 15 1652 558
1 16 1699 577
1 17 1717 582
1 18 1884 636
1 19 1956 657
1 20 1993 671
1 21 2022 683
1 22 2056 694
1 23 2163 732
1 24 2179 737
1 25 2226 756
1 26 2385 819
1 27 2439 842
1 28 2483 856
1 29 2495 859
1 30 2653 911
1 31 2669 914
1 32 2731 939
1 33 2741 941
1 34 2746 944
1 35 2775 952
1 36 2820 967
1 37 2829 970
1 38 2872 982
1 39 2900 994
1 40 3108 1064
1 41 3160 1080
1 42 3257 1108
1 43 3280 1113
1 44 3367 1136
1 45 3452 1165
1 46 3499 1178
1 47 3540 1189
1 48 3571 1199
1 49 3653 1229
1 50 3763 1261
1 51 3808 1275
1 52 3852 1289
1 53 4128 1378
1 54 4526 1499
1 55 4678 1553
1 56 4700 1559
1 57 4794 1590
1 58 4850 1606
1 59 4918 1633
