#data counter step time
1 1 19 0
1 2 43 4
1 3 55 7
1 4 77 15
1 5 108 27
1 6 126 30
1 7 139 37
1 8 157 43
1 9 187 52
1 10 196 57
1 11 214 65
1 12 226 72
1 13 307 101
1 14 327 108
1 15 329 108
1 16 345 114
1 17 349 116
1 18 392 127
1 19 394 129
1 20 440 145
1 21 484 160
1 22 512 170
1 23 521 174
1 24 559 191
1 25 560 191
1 26 575 197
1 27 605 205
1 28 609 207
1 29 613 208
1 30 656 224
1 31 726 244
1 32 738 248
1 33 765 255
1 34 789 261
1 35 794 262
1 36 796 262
1 37 797 262
1 38 809 265
1 39 819 268
1 40 827 269
1 41 855 275
1 42 893 286
1 43 903 288
1 44 965 315
1 45 981 321
1 46 1052 342
1 47 1068 349
1 48 1092 357
1 49 1124 368
1 50 1248 413
1 51 1359 449
1 52 1405 468
1 53 1446 487
1 54 1468 497
1 55 1511 513
1 56 1589 540
1 57 1617 548
1 58 1627 549
1 59 1658 560
1 60 1727 585
1 61 1748 594
1 62 1750 594
1 63 1756 596
1 64 1777 606
1 65 1787 608
1 66 1808 613
1 67 1812 616
1 68 1819 619
1 69 1821 619
1 70 1855 628
1 71 1880 635
1 72 1891 638
1 73 1922 648
1 74 2005 677
1 75 2065 697
1 76 2113 714
1 77 2121 718
1 78 2128 721
1 79 2139 724
1 80 2203 748
1 81 2250 767
1 82 2258 771
1 83 2325 793
1 84 2346 802
1 85 2426 835
1 86 2481 855
1 87 2487 856
1 88 2517 867
1 89 2521 867
1 90 2525 869
1 91 2553 879
1 92 2574 885
1 93 2575 887
1 94 2621 901
1 95 2637 906
1 96 2664 913
1 97 2675 916
1 98 2732 939
1 99 2735 940
1 100 2816 966
1 101 2853 976
1 102 2906 995
1 103 3040 1039
1 104 3135 1074
1 105 3165 1081
1 106 3208 1090
1 107 3242 1104
1 108 3308 1120
1 109 3323 1122
1 110 3370 1136
1 111 3379 1138
1 112 3390 1144
1 113 3391 1144
1 114 3439 1160
1 115 3504 1179
1 116 3546 1190
1 117 3582 1205
1 118 3606 1212
1 119 3637 1225
1 120 3644 1226
1 121 3649 1228
1 122 3703 1244
1 123 3712 1247
1 124 3799 1272
1 125 3816 1276
1 126 3820 1277
1 127 3834 1283
1 128 3837 1284
1 129 3862 1292
1 130 3871 1295
1 131 3894 1302
1 132 3979 1332
1 133 3981 1333
1 134 4021 1345
1 135 4076 1363
1 136 4107 1372
1 137 4149 1384
1 138 4151 1384
1 139 4202 1396
1 140 4206 1397
1 141 4284 1423
1 142 4289 1425
1 143 4293 1425
1 144 4359 1448
1 145 4374 1451
1 146 4375 1451
1 147 4380 1453
1 148 4395 1458
1 149 4399 1459
1 150 4427 1466
1 151 4479 1485
1 152 4561 1510
1 153 4625 1539
1 154 4715 1563
1 155 4747 1577
1 156 4783 1587
1 157 4800 1592
1 158 4802 1594
1 159 4825 1601
1 160 4907 1630
1 161 4943 1637
1 162 4967 1650
1 163 4970 1650
1 164 4971 1651
1 165 4974 1652
1 166 4982 1654
