#data counter step time
1 1 13 0
1 2 79 17
1 3 119 29
1 4 145 39
1 5 191 53
1 6 245 78
1 7 255 84
1 8 262 88
1 9 314 104
1 10 417 137
1 11 523 175
1 12 590 201
1 13 633 216
1 14 803 264
1 15 933 304
1 16 1075 353
1 17 1095 357
1 18 1225 403
1 19 1318 437
1 20 1369 452
1 21 1567 534
1 22 1585 539
1 23 1611 546
1 24 1827 620
1 25 1957 658
1 26 2028 684
1 27 2169 733
1 28 2251 769
1 29 2522 869
1 30 2565 882
1 31 2601 893
1 32 2695 926
1 33 2762 949
1 34 2817 966
1 35 2861 978
1 36 2930 1005
1 37 2971 1018
1 38 3012 1032
1 39 3035 1038
1 40 3130 1073
1 41 3170 1082
1 42 3189 1087
1 43 3215 1093
1 44 3224 1097
1 45 3271 1112
1 46 3329 1126
1 47 3338 1128
1 48 3384 1141
1 49 3507 1180
1 50 3515 1181
1 51 3544 1189
1 52 4006 1341
1 53 4060 1359
1 54 4139 1381
1 55 4228 1405
1 56 4445 1474
1 57 4582 1519
1 58 4639 1543
1 59 4705 1560
1 60 4858 1612
1 61 4872 1616
1 62 4899 1629
1 63 4931 1635
1 64 4950 1641
1 65 4984 1655
