#data counter step time
1 1 47 4
1 2 56 7
1 3 76 15
1 4 107 27
1 5 128 30
1 6 140 37
1 7 158 43
1 8 587 200
1 9 593 202
1 10 600 204
1 11 607 206
1 12 611 208
1 13 620 210
1 14 626 212
1 15 629 214
1 16 632 216
1 17 639 218
1 18 648 220
1 19 654 222
1 20 657 224
1 21 664 226
1 22 670 228
1 23 678 230
1 24 690 232
1 25 693 234
1 26 701 236
1 27 706 238
1 28 713 240
1 29 721 242
1 30 729 244
1 31 1275 422
1 32 1280 424
1 33 1288 426
1 34 1293 428
1 35 1300 430
1 36 1305 432
1 37 1310 434
1 38 1314 436
1 39 1324 438
1 40 1329 440
1 41 1338 442
1 42 1342 444
1 43 1348 446
1 44 1355 448
1 45 1360 450
1 46 1367 452
1 47 1379 454
1 48 1384 456
1 49 1388 458
1 50 1392 460
1 51 1837 625
1 52 1853 627
1 53 1862 629
1 54 1868 631
1 55 1873 633
1 56 1879 635
1 57 1887 637
1 58 1893 639
1 59 1897 641
1 60 1904 643
1 61 1910 645
1 62 1917 647
1 63 1929 649
1 64 1933 651
1 65 1935 653
1 66 1947 655
1 67 1954 657
1 68 1962 659
1 69 1977 661
1 70 1978 663
1 71 1980 665
1 72 1982 667
1 73 2411 828
1 74 2418 830
1 75 2422 832
1 76 2425 834
1 77 2428 836
1 78 2431 838
1 79 2432 840
1 80 2442 842
1 81 2446 844
1 82 2457 846
1 83 2463 848
1 84 2469 850
1 85 2482 855
1 86 2491 857
1 87 2520 867
1 88 2524 869
1 89 2531 871
1 90 3008 1029
1 91 3010 1031
1 92 3015 1033
1 93 3029 1035
1 94 3030 1037
1 95 3041 1039
1 96 3044 1041
1 97 3051 1043
1 98 3061 1045
1 99 3064 1047
1 100 3066 1049
1 101 3077 1051
1 102 3080 1053
1 103 3841 1286
1 104 3847 1288
1 105 3855 1290
1 106 3863 1292
1 107 3868 1294
1 108 3873 1296
1 109 3881 1298
1 110 3885 1300
1 111 3893 1302
1 112 3901 1304
1 113 3907 1306
1 114 3910 1308
1 115 3914 1310
1 116 3922 1312
1 117 3926 1314
1 118 3931 1316
1 119 3939 1318
1 120 3941 1320
1 121 3947 1322
1 122 3955 1324
1 123 3965 1326
1 124 3969 1328
1 125 3973 1330
1 126 3978 1332
1 127 3983 1334
1 128 3985 1336
1 129 3993 1338
1 130 4000 1340
1 131 4011 1342
1 132 4019 1344
1 133 4024 1346
1 134 4607 1532
1 135 4612 1534
1 136 4617 1536
1 137 4621 1538
1 138 4628 1540
1 139 4636 1542
1 140 4642 1544
1 141 4653 1546
1 142 4661 1548
1 143 4670 1550
1 144 4673 1552
1 145 4681 1554
1 146 4693 1556
1 147 4696 1558
1 148 4704 1560
1 149 4710 1562
1 150 4719 1564
1 151 4725 1566
1 152 4728 1568
1 153 4735 1570
