#data counter step time
1 1 83 17
1 2 116 29
1 3 146 39
1 4 588 200
1 5 606 205
1 6 619 210
1 7 631 215
1 8 653 220
1 9 662 225
1 10 680 230
1 11 696 235
1 12 710 240
1 13 1277 422
1 14 1291 427
1 15 1307 432
1 16 1321 437
1 17 1335 442
1 18 1351 447
1 19 1366 452
1 20 1838 625
1 21 1865 630
1 22 1882 635
1 23 1895 640
1 24 1961 658
1 25 2410 828
1 26 2423 833
1 27 2430 838
1 28 2528 869
1 29 3006 1029
1 30 3023 1034
1 31 3038 1039
1 32 3059 1044
1 33 3067 1049
1 34 3081 1054
1 35 3096 1059
1 36 3106 1064
1 37 3116 1069
1 38 3842 1286
1 39 3860 1291
1 40 3872 1296
1 41 3887 1301
1 42 3906 1306
1 43 3920 1311
1 44 3932 1316
1 45 3945 1321
1 46 3964 1326
1 47 3974 1331
1 48 3986 1336
1 49 4005 1341
1 50 4026 1346
1 51 4039 1351
1 52 4608 1532
1 53 4620 1537
1 54 4637 1542
1 55 4657 1547
1 56 4677 1552
1 57 4695 1557
1 58 4709 1562
