#data counter step time
1 1 46 4
1 2 54 7
1 3 73 15
1 4 106 27
1 5 124 30
1 6 138 37
1 7 156 43
1 8 186 52
1 9 197 57
1 10 215 65
1 11 228 72
1 12 308 101
1 13 326 108
1 14 328 108
1 15 344 114
1 16 350 116
1 17 390 127
1 18 399 129
1 19 436 145
1 20 487 160
1 21 511 170
1 22 520 174
1 23 563 191
1 24 564 191
1 25 576 197
1 26 604 205
1 27 610 207
1 28 612 208
1 29 658 224
1 30 728 244
1 31 739 248
1 32 764 255
1 33 791 261
1 34 793 262
1 35 795 262
1 36 798 262
1 37 808 265
1 38 823 268
1 39 826 269
1 40 857 275
1 41 896 286
1 42 904 288
1 43 967 315
1 44 979 321
1 45 1049 342
1 46 1066 349
1 47 1091 357
1 48 1123 368
1 49 1255 413
1 50 1357 449
1 51 1403 468
1 52 1447 487
1 53 1466 497
1 54 1506 513
1 55 1590 540
1 56 1618 548
1 57 1624 549
1 58 1660 560
1 59 1723 585
1 60 1747 594
1 61 1749 594
1 62 1755 596
1 63 1780 606
1 64 1789 608
1 65 1807 613
1 66 1814 616
1 67 1824 619
1 68 1825 619
1 69 1854 628
1 70 1881 635
1 71 1888 638
1 72 1925 648
1 73 2004 677
1 74 2070 697
1 75 2112 714
1 76 2125 718
1 77 2129 721
1 78 2141 724
1 79 2206 748
1 80 2249 767
1 81 2257 771
1 82 2321 793
1 83 2353 802
1 84 2427 835
1 85 2479 855
1 86 2485 856
1 87 2516 867
1 88 2518 867
1 89 2529 869
1 90 2549 879
1 91 2570 885
1 92 2577 887
1 93 2623 901
1 94 2638 906
1 95 2660 913
1 96 2674 916
1 97 2730 939
1 98 2736 940
1 99 2814 966
1 100 2852 976
1 101 2905 995
1 102 3039 1039
1 103 3138 1074
1 104 3162 1081
1 105 3203 1090
1 106 3241 1104
1 107 3307 1120
1 108 3318 1122
1 109 3369 1136
1 110 3377 1138
1 111 3392 1144
1 112 3393 1144
1 113 3437 1160
1 114 3503 1179
1 115 3547 1190
1 116 3580 1205
1 117 3609 1212
1 118 3638 1225
1 119 3642 1226
1 120 3650 1228
1 121 3700 1244
1 122 3715 1247
1 123 3798 1272
1 124 3814 1276
1 125 3818 1277
1 126 3835 1283
1 127 3836 1284
1 128 3865 1292
1 129 3870 1295
1 130 3897 1302
1 131 3977 1332
1 132 3980 1333
1 133 4022 1345
1 134 4072 1363
1 135 4105 1372
1 136 4150 1384
1 137 4153 1384
1 138 4203 1396
1 139 4205 1397
1 140 4281 1423
1 141 4288 1425
1 142 4290 1425
1 143 4363 1448
1 144 4372 1451
1 145 4376 1451
1 146 4381 1453
1 147 4396 1458
1 148 4400 1459
1 149 4426 1466
1 150 4477 1485
1 151 4562 1510
1 152 4623 1539
1 153 4717 1563
1 154 4749 1577
1 155 4785 1587
1 156 4799 1592
1 157 4803 1594
1 158 4823 1601
1 159 4908 1630
1 160 4940 1637
1 161 4968 1650
1 162 4969 1650
1 163 4972 1651
1 164 4975 1652
1 165 4983 1654
