#data counter step time
1 1 82 17
1 2 115 29
1 3 144 39
1 4 193 53
1 5 246 78
1 6 256 84
1 7 263 88
1 8 317 104
1 9 419 137
1 10 524 175
1 11 591 201
1 12 635 216
1 13 805 264
1 14 937 304
1 15 1081 353
1 16 1094 357
1 17 1223 403
1 18 1320 437
1 19 1365 452
1 20 1569 534
1 21 1587 539
1 22 1610 546
1 23 1828 620
1 24 1960 658
1 25 2031 684
1 26 2166 733
1 27 2252 769
1 28 2527 869
1 29 2564 882
1 30 2602 893
1 31 2696 926
1 32 2758 949
1 33 2815 966
1 34 2860 978
1 35 2932 1005
1 36 2970 1018
1 37 3011 1032
1 38 3032 1038
1 39 3129 1073
1 40 3167 1082
1 41 3194 1087
1 42 3217 1093
1 43 3223 1097
1 44 3269 1112
1 45 3333 1126
1 46 3340 1128
1 47 3383 1141
1 48 3509 1180
1 49 3514 1181
1 50 3539 1189
1 51 4004 1341
1 52 4063 1359
1 53 4143 1381
1 54 4230 1405
1 55 4446 1474
1 56 4579 1519
1 57 4638 1543
1 58 4702 1560
1 59 4857 1612
1 60 4869 1616
1 61 4895 1629
1 62 4933 1635
1 63 4949 1641
1 64 4986 1655
