#data counter step time
1 1 3 0
1 2 35 2
1 3 37 2
1 4 63 12
1 5 88 20
1 6 110 28
1 7 152 40
1 8 169 47
1 9 170 47
1 10 242 77
1 11 275 93
1 12 315 104
1 13 427 141
1 14 435 144
1 15 437 145
1 16 480 159
1 17 505 168
1 18 542 184
1 19 550 186
1 20 599 204
1 21 622 211
1 22 640 219
1 23 683 231
1 24 695 235
1 25 709 239
1 26 725 244
1 27 735 246
1 28 779 258
1 29 872 279
1 30 885 282
1 31 907 289
1 32 917 293
1 33 938 305
1 34 939 305
1 35 955 313
1 36 962 314
1 37 1021 333
1 38 1033 337
1 39 1045 340
1 40 1073 352
1 41 1098 358
1 42 1180 386
1 43 1229 405
1 44 1242 410
1 45 1245 412
1 46 1258 415
1 47 1266 417
1 48 1269 418
1 49 1316 437
1 50 1336 442
1 51 1343 445
1 52 1376 453
1 53 1377 454
1 54 1381 456
1 55 1386 457
1 56 1389 459
1 57 1434 481
1 58 1508 513
1 59 1521 517
1 60 1593 542
1 61 1676 567
1 62 1683 571
1 63 1684 571
1 64 1732 588
1 65 1741 591
1 66 1794 609
1 67 1813 616
1 68 1841 626
1 69 1859 628
1 70 1861 628
1 71 1948 656
1 72 1965 660
1 73 1967 660
1 74 1986 668
1 75 2064 695
1 76 2068 697
1 77 2074 698
1 78 2093 706
1 79 2110 712
1 80 2145 725
1 81 2186 741
1 82 2205 748
1 83 2245 766
1 84 2267 774
1 85 2281 779
1 86 2292 784
1 87 2304 789
1 88 2319 792
1 89 2324 793
1 90 2329 794
1 91 2345 802
1 92 2413 829
1 93 2466 849
1 94 2480 855
1 95 2500 860
1 96 2555 880
1 97 2560 881
1 98 2658 912
1 99 2690 925
1 100 2697 926
1 101 2890 990
1 102 2912 996
1 103 2919 998
1 104 2936 1006
1 105 2942 1008
1 106 2949 1009
1 107 2967 1017
1 108 2990 1026
1 109 3022 1034
1 110 3043 1041
1 111 3053 1043
1 112 3057 1044
1 113 3073 1050
1 114 3109 1065
1 115 3136 1074
1 116 3174 1084
1 117 3177 1085
1 118 3180 1086
1 119 3183 1086
1 120 3195 1088
1 121 3229 1098
1 122 3256 1108
1 123 3286 1114
1 124 3295 1116
1 125 3313 1121
1 126 3335 1127
1 127 3366 1136
1 128 3374 1137
1 129 3396 1146
1 130 3412 1151
1 131 3419 1153
1 132 3462 1169
1 133 3467 1170
1 134 3469 1170
1 135 3483 1175
1 136 3486 1176
1 137 3519 1182
1 138 3535 1188
1 139 3612 1213
1 140 3617 1214
1 141 3689 1240
1 142 3707 1245
1 143 3721 1247
1 144 3746 1257
1 145 3831 1281
1 146 3874 1296
1 147 3884 1299
1 148 3902 1305
1 149 4090 1370
1 150 4102 1371
1 151 4122 1377
1 152 4135 1380
1 153 4162 1386
1 154 4171 1389
1 155 4184 1391
1 156 4189 1393
1 157 4266 1419
1 158 4276 1422
1 159 4303 1429
1 160 4310 1433
1 161 4330 1438
1 162 4351 1446
1 163 4352 1446
1 164 4368 1451
1 165 4371 1451
1 166 4392 1457
1 167 4442 1473
1 168 4470 1482
1 169 4511 1497
1 170 4546 1507
1 171 4573 1516
1 172 4651 1545
1 173 4668 1549
1 174 4731 1569
1 175 4755 1578
1 176 4812 1598
1 177 4826 1601
1 178 4836 1604
1 179 4837 1604
1 180 4890 1627
1 181 4930 1635
