#data counter step time
1 1 5 0
1 2 91 22
1 3 163 45
1 4 371 124
1 5 455 151
1 6 570 195
1 7 751 252
1 8 821 268
1 9 844 273
1 10 861 276
1 11 876 280
1 12 1013 331
1 13 1036 339
1 14 1132 371
1 15 1168 384
1 16 1202 395
1 17 1472 498
1 18 1495 506
1 19 1670 564
1 20 1845 627
1 21 1915 647
1 22 1942 654
1 23 2114 714
1 24 2137 724
1 25 2208 749
1 26 2371 811
1 27 2406 827
1 28 2437 842
1 29 2447 844
1 30 2476 854
1 31 2579 888
1 32 2630 903
1 33 2705 929
1 34 2788 956
1 35 2841 972
1 36 3230 1099
1 37 3282 1113
1 38 3319 1122
1 39 3409 1151
1 40 3548 1191
1 41 3601 1211
1 42 3671 1236
1 43 3767 1262
1 44 4095 1370
1 45 4177 1390
1 46 4454 1478
1 47 4631 1541
1 48 4672 1552
1 49 4687 1556
1 50 4752 1578
1 51 4774 1584
1 52 4808 1596
1 53 4922 1633
1 54 4994 1658
