#data counter step time
1 1 453 150
1 2 458 152
1 3 465 154
1 4 470 156
1 5 477 158
1 6 486 160
1 7 493 162
1 8 498 164
1 9 502 166
1 10 503 168
1 11 509 170
1 12 517 172
1 13 519 174
1 14 528 176
1 15 533 178
1 16 535 180
1 17 544 184
1 18 549 186
1 19 1101 361
1 20 1108 363
1 21 1115 365
1 22 1121 367
1 23 1127 369
1 24 1136 371
1 25 1142 373
1 26 1144 375
1 27 1146 377
1 28 1153 379
1 29 1161 381
1 30 1163 383
1 31 1174 385
1 32 1182 387
1 33 1187 389
1 34 1190 391
1 35 1198 393
1 36 1205 395
1 37 1209 397
1 38 1214 399
1 39 1219 401
1 40 1224 403
1 41 1231 405
1 42 1236 407
1 43 1243 410
1 44 1247 412
1 45 1262 415
1 46 1693 575
1 47 1701 577
1 48 1707 579
1 49 1711 581
1 50 1719 583
1 51 1724 585
1 52 1729 587
1 53 1734 589
1 54 1740 591
1 55 1745 593
1 56 1751 595
1 57 1759 597
1 58 1761 599
1 59 1765 601
1 60 1770 603
1 61 1774 605
1 62 1781 607
1 63 1797 609
1 64 1801 611
1 65 1809 613
1 66 1816 616
1 67 2271 775
1 68 2274 777
1 69 2278 779
1 70 2283 781
1 71 2288 783
1 72 2295 785
1 73 2302 787
1 74 2305 789
1 75 2313 791
1 76 2322 793
1 77 2332 795
1 78 2338 797
1 79 2339 799
1 80 2344 801
1 81 2354 803
1 82 2360 805
1 83 2364 807
1 84 2366 809
1 85 2372 811
1 86 2376 813
1 87 2377 815
1 88 2380 817
1 89 2386 819
1 90 2388 821
1 91 2867 979
1 92 2869 981
1 93 2876 983
1 94 2881 985
1 95 2885 987
1 96 2887 989
1 97 2894 991
1 98 2896 993
1 99 2907 995
1 100 2913 997
1 101 2923 999
1 102 2925 1001
1 103 2939 1006
1 104 2943 1008
1 105 2952 1010
1 106 2969 1017
1 107 3590 1207
1 108 3597 1209
1 109 3603 1211
1 110 3613 1213
1 111 3620 1215
1 112 3625 1217
1 113 3629 1219
1 114 3633 1221
1 115 3636 1223
1 116 3639 1225
1 117 3645 1227
1 118 3652 1229
1 119 3660 1231
1 120 3665 1233
1 121 3669 1235
1 122 3686 1237
1 123 3688 1239
1 124 3692 1241
1 125 3699 1243
1 126 3705 1245
1 127 3718 1247
1 128 3724 1249
1 129 3728 1251
1 130 3734 1253
1 131 3740 1255
1 132 3744 1257
1 133 3752 1259
1 134 3757 1261
1 135 3773 1263
1 136 3776 1265
1 137 3785 1267
1 138 3790 1269
1 139 3796 1271
1 140 3802 1273
1 141 3813 1275
1 142 3819 1277
1 143 3825 1279
1 144 4459 1479
1 145 4466 1481
1 146 4472 1483
1 147 4478 1485
1 148 4483 1487
1 149 4491 1489
1 150 4495 1491
1 151 4496 1493
1 152 4508 1495
1 153 4515 1497
1 154 4521 1499
1 155 4528 1501
1 156 4536 1503
1 157 4538 1505
1 158 4544 1507
1 159 4553 1509
1 160 4563 1511
1 161 4568 1513
1 162 4570 1515
1 163 4574 1517
1 164 4578 1519
1 165 4585 1521
1 166 4587 1523
1 167 4591 1525
