#data counter step time
1 1 450 150
1 2 468 155
1 3 491 160
1 4 500 165
1 5 1100 361
1 6 1119 366
1 7 1139 371
1 8 1145 376
1 9 1159 381
1 10 1178 386
1 11 1192 391
1 12 1207 396
1 13 1221 401
1 14 1234 406
1 15 1244 411
1 16 1696 575
1 17 1710 580
1 18 1726 585
1 19 2272 775
1 20 2282 780
1 21 2297 785
1 22 2309 790
1 23 2333 795
1 24 2343 800
1 25 2374 811
1 26 2866 979
1 27 2879 984
1 28 2888 989
1 29 2903 994
1 30 2922 999
1 31 2928 1004
1 32 2950 1009
1 33 2965 1014
1 34 2977 1019
1 35 3591 1207
1 36 3608 1212
1 37 3624 1217
1 38 3634 1222
1 39 3646 1227
1 40 3662 1232
1 41 3684 1237
1 42 3766 1262
1 43 4460 1479
1 44 4476 1484
1 45 4489 1489
