#data counter step time
1 1 34 2
1 2 36 2
1 3 65 12
1 4 87 20
1 5 109 28
1 6 154 40
1 7 168 47
1 8 171 47
1 9 243 77
1 10 276 93
1 11 311 104
1 12 424 141
1 13 433 144
1 14 441 145
1 15 482 159
1 16 506 168
1 17 543 184
1 18 547 186
1 19 598 204
1 20 621 211
1 21 641 219
1 22 684 231
1 23 698 235
1 24 708 239
1 25 730 244
1 26 736 246
1 27 775 258
1 28 869 279
1 29 886 282
1 30 909 289
1 31 915 293
1 32 940 305
1 33 942 305
1 34 954 313
1 35 961 314
1 36 1020 333
1 37 1031 337
1 38 1042 340
1 39 1074 352
1 40 1097 358
1 41 1179 386
1 42 1230 405
1 43 1241 410
1 44 1246 412
1 45 1259 415
1 46 1265 417
1 47 1270 418
1 48 1323 437
1 49 1334 442
1 50 1346 445
1 51 1373 453
1 52 1378 454
1 53 1382 456
1 54 1387 457
1 55 1390 459
1 56 1433 481
1 57 1509 513
1 58 1522 517
1 59 1595 542
1 60 1674 567
1 61 1682 571
1 62 1685 571
1 63 1733 588
1 64 1739 591
1 65 1793 609
1 66 1815 616
1 67 1840 626
1 68 1857 628
1 69 1860 628
1 70 1949 656
1 71 1964 660
1 72 1966 660
1 73 1984 668
1 74 2061 695
1 75 2067 697
1 76 2073 698
1 77 2092 706
1 78 2109 712
1 79 2147 725
1 80 2187 741
1 81 2204 748
1 82 2243 766
1 83 2265 774
1 84 2279 779
1 85 2294 784
1 86 2308 789
1 87 2315 792
1 88 2326 793
1 89 2331 794
1 90 2352 802
1 91 2414 829
1 92 2465 849
1 93 2478 855
1 94 2506 860
1 95 2554 880
1 96 2559 881
1 97 2659 912
1 98 2691 925
1 99 2694 926
1 100 2893 990
1 101 2911 996
1 102 2921 998
1 103 2935 1006
1 104 2940 1008
1 105 2947 1009
1 106 2968 1017
1 107 2991 1026
1 108 3021 1034
1 109 3042 1041
1 110 3050 1043
1 111 3058 1044
1 112 3074 1050
1 113 3111 1065
1 114 3140 1074
1 115 3173 1084
1 116 3179 1085
1 117 3181 1086
1 118 3188 1086
1 119 3196 1088
1 120 3226 1098
1 121 3258 1108
1 122 3285 1114
1 123 3294 1116
1 124 3316 1121
1 125 3337 1127
1 126 3372 1136
1 127 3375 1137
1 128 3397 1146
1 129 3406 1151
1 130 3417 1153
1 131 3463 1169
1 132 3470 1170
1 133 3472 1170
1 134 3484 1175
1 135 3485 1176
1 136 3517 1182
1 137 3536 1188
1 138 3614 1213
1 139 3618 1214
1 140 3690 1240
1 141 3704 1245
1 142 3714 1247
1 143 3743 1257
1 144 3832 1281
1 145 3875 1296
1 146 3883 1299
1 147 3904 1305
1 148 4093 1370
1 149 4103 1371
1 150 4121 1377
1 151 4133 1380
1 152 4161 1386
1 153 4173 1389
1 154 4185 1391
1 155 4191 1393
1 156 4268 1419
1 157 4280 1422
1 158 4302 1429
1 159 4309 1433
1 160 4328 1438
1 161 4350 1446
1 162 4354 1446
1 163 4367 1451
1 164 4369 1451
1 165 4388 1457
1 166 4443 1473
1 167 4469 1482
1 168 4510 1497
1 169 4547 1507
1 170 4572 1516
1 171 4649 1545
1 172 4669 1549
1 173 4733 1569
1 174 4750 1578
1 175 4813 1598
1 176 4827 1601
1 177 4839 1604
1 178 4840 1604
1 179 4889 1627
1 180 4935 1635
