#data counter step time
1 1 94 22
1 2 160 45
1 3 370 124
1 4 457 151
1 5 574 195
1 6 753 252
1 7 818 268
1 8 850 273
1 9 860 276
1 10 874 280
1 11 1012 331
1 12 1041 339
1 13 1138 371
1 14 1170 384
1 15 1203 395
1 16 1470 498
1 17 1497 506
1 18 1669 564
1 19 1849 627
1 20 1919 647
1 21 1940 654
1 22 2115 714
1 23 2138 724
1 24 2210 749
1 25 2370 811
1 26 2408 827
1 27 2441 842
1 28 2444 844
1 29 2475 854
1 30 2580 888
1 31 2628 903
1 32 2707 929
1 33 2790 956
1 34 2840 972
1 35 3232 1099
1 36 3279 1113
1 37 3317 1122
1 38 3407 1151
1 39 3553 1191
1 40 3600 1211
1 41 3677 1236
1 42 3765 1262
1 43 4091 1370
1 44 4178 1390
1 45 4455 1478
1 46 4634 1541
1 47 4676 1552
1 48 4690 1556
1 49 4753 1578
1 50 4777 1584
1 51 4807 1596
1 52 4924 1633
1 53 4993 1658
