#data counter step time
1 1 23 0
1 2 27 1
1 3 42 3
1 4 49 5
1 5 57 9
1 6 71 15
1 7 97 23
1 8 142 38
1 9 202 60
1 10 272 91
1 11 280 95
1 12 288 97
1 13 293 98
1 14 319 106
1 15 362 122
1 16 397 129
1 17 459 152
1 18 530 177
1 19 557 191
1 20 567 194
1 21 623 211
1 22 625 212
1 23 689 232
1 24 704 236
1 25 720 242
1 26 754 253
1 27 762 254
1 28 771 256
1 29 811 265
1 30 816 267
1 31 858 276
1 32 889 283
1 33 958 314
1 34 963 314
1 35 1006 329
1 36 1054 343
1 37 1062 348
1 38 1082 353
1 39 1126 369
1 40 1137 371
1 41 1171 385
1 42 1252 413
1 43 1253 413
1 44 1279 423
1 45 1345 445
1 46 1358 449
1 47 1417 474
1 48 1439 484
1 49 1478 499
1 50 1489 504
1 51 1578 537
1 52 1635 554
1 53 1704 578
1 54 1769 603
1 55 1782 607
1 56 1847 627
1 57 1848 627
1 58 1871 633
1 59 1914 646
1 60 1921 647
1 61 1971 661
1 62 2009 678
1 63 2054 694
1 64 2071 698
1 65 2080 700
1 66 2098 708
1 67 2118 716
1 68 2132 721
1 69 2231 758
1 70 2248 766
1 71 2256 770
1 72 2296 785
1 73 2314 791
1 74 2317 792
1 75 2320 793
1 76 2349 802
1 77 2351 802
1 78 2382 818
1 79 2404 826
1 80 2453 845
1 81 2468 850
1 82 2584 889
1 83 2647 909
1 84 2722 936
1 85 2773 952
1 86 2834 971
1 87 2857 976
1 88 2961 1013
1 89 3002 1028
1 90 3014 1033
1 91 3028 1035
1 92 3046 1042
1 93 3054 1044
1 94 3068 1049
1 95 3098 1061
1 96 3102 1063
1 97 3204 1090
1 98 3254 1107
1 99 3302 1118
1 100 3350 1132
1 101 3376 1138
1 102 3426 1157
1 103 3432 1158
1 104 3468 1170
1 105 3518 1182
1 106 3557 1195
1 107 3607 1212
1 108 3694 1241
1 109 3731 1252
1 110 3753 1259
1 111 3759 1261
1 112 3778 1266
1 113 3943 1321
1 114 3949 1322
1 115 3988 1337
1 116 3991 1337
1 117 4002 1341
1 118 4018 1344
1 119 4023 1345
1 120 4040 1353
1 121 4059 1359
1 122 4068 1361
1 123 4079 1364
1 124 4100 1371
1 125 4124 1378
1 126 4134 1380
1 127 4188 1393
1 128 4192 1394
1 129 4214 1401
1 130 4223 1403
1 131 4238 1408
1 132 4253 1414
1 133 4361 1448
1 134 4390 1457
1 135 4408 1461
1 136 4411 1462
1 137 4413 1462
1 138 4416 1462
1 139 4504 1494
1 140 4506 1495
1 141 4518 1497
1 142 4543 1507
1 143 4644 1544
1 144 4659 1547
1 145 4686 1556
1 146 4718 1563
1 147 4730 1569
1 148 4734 1570
1 149 4742 1575
1 150 4770 1583
1 151 4864 1614
1 152 4900 1629
1 153 4919 1633
1 154 4945 1639
1 155 4999 1661
