#data counter step time
1 1 7 0
1 2 40 3
1 3 129 30
1 4 297 100
1 5 387 126
1 6 406 132
1 7 852 274
1 8 992 325
1 9 1071 351
1 10 1104 362
1 11 1113 365
1 12 1295 429
1 13 1299 430
1 14 1393 461
1 15 1598 543
1 16 1665 561
1 17 1869 631
1 18 1905 643
1 19 1952 657
1 20 1969 661
1 21 2014 681
1 22 2027 684
1 23 2044 690
1 24 2503 860
1 25 2685 923
1 26 2771 952
1 27 2883 985
1 28 3148 1078
1 29 3184 1086
1 30 3399 1148
1 31 3496 1178
1 32 3680 1237
1 33 3717 1247
1 34 3853 1289
1 35 3924 1313
1 36 3952 1323
1 37 4028 1348
1 38 4112 1374
1 39 4169 1388
1 40 4210 1397
1 41 4224 1403
1 42 4233 1406
1 43 4318 1435
1 44 4531 1502
1 45 4539 1506
1 46 4646 1545
1 47 4665 1548
1 48 4779 1586
1 49 4817 1600
1 50 4906 1630
1 51 4956 1643
1 52 4959 1645
