#data counter step time
1 1 302 100
1 2 309 102
1 3 312 104
1 4 321 106
1 5 324 108
1 6 331 110
1 7 336 112
1 8 341 114
1 9 351 116
1 10 354 118
1 11 356 120
1 12 366 122
1 13 373 124
1 14 384 126
1 15 396 129
1 16 946 306
1 17 947 308
1 18 949 310
1 19 951 312
1 20 959 314
1 21 968 316
1 22 971 318
1 23 976 320
1 24 986 322
1 25 990 324
1 26 998 326
1 27 1003 328
1 28 1011 330
1 29 1017 332
1 30 1023 334
1 31 1028 336
1 32 1034 338
1 33 1044 340
1 34 1050 342
1 35 1057 344
1 36 1065 348
1 37 1078 353
1 38 1546 525
1 39 1549 527
1 40 1555 529
1 41 1559 531
1 42 1566 533
1 43 1571 535
1 44 1576 537
1 45 1584 539
1 46 1592 541
1 47 1601 543
1 48 1608 545
1 49 1614 547
1 50 1625 549
1 51 1638 554
1 52 2148 725
1 53 2153 727
1 54 2156 729
1 55 2161 731
1 56 2165 733
1 57 2177 735
1 58 2181 737
1 59 2182 739
1 60 2188 741
1 61 2192 743
1 62 2195 745
1 63 2202 747
1 64 2207 749
1 65 2215 751
1 66 2219 753
1 67 2224 755
1 68 2230 758
1 69 2244 766
1 70 2709 929
1 71 2710 931
1 72 2716 933
1 73 2718 935
1 74 2725 937
1 75 2729 939
1 76 2739 941
1 77 2744 943
1 78 2750 945
1 79 2756 947
1 80 2759 949
1 81 2765 951
1 82 2777 953
1 83 2786 955
1 84 2792 957
1 85 2838 971
1 86 3427 1157
1 87 3436 1159
1 88 3441 1161
1 89 3445 1163
1 90 3449 1165
1 91 3458 1167
1 92 3464 1169
1 93 3474 1171
1 94 3476 1173
1 95 3482 1175
1 96 3491 1177
1 97 3501 1179
1 98 3513 1181
1 99 3521 1183
1 100 3526 1185
1 101 3529 1187
1 102 3543 1189
1 103 3551 1191
1 104 3554 1193
1 105 3559 1195
1 106 4250 1412
1 107 4255 1414
1 108 4260 1416
1 109 4264 1418
1 110 4270 1420
1 111 4275 1422
1 112 4285 1424
1 113 4295 1426
1 114 4298 1428
1 115 4305 1430
1 116 4306 1432
1 117 4312 1434
1 118 4321 1436
1 119 4329 1438
1 120 4335 1440
1 121 4342 1442
1 122 4346 1444
1 123 4353 1446
1 124 4358 1448
1 125 4366 1450
1 126 4377 1452
1 127 4382 1454
1 128 4387 1456
1 129 4397 1458
1 130 4405 1460
1 131 4414 1462
1 132 4420 1464
1 133 4425 1466
1 134 4431 1468
1 135 4433 1470
1 136 4438 1472
1 137 4978 1653
1 138 4987 1655
1 139 4991 1657
1 140 4998 1659
