#data counter step time
1 1 298 100
1 2 318 105
1 3 330 110
1 4 389 126
1 5 404 132
1 6 945 306
1 7 995 325
1 8 1070 351
1 9 1545 525
1 10 1556 530
1 11 1572 535
1 12 1588 540
1 13 1609 545
1 14 1629 550
1 15 1664 561
1 16 2143 725
1 17 2157 730
1 18 2172 735
1 19 2185 740
1 20 2196 745
1 21 2212 750
1 22 2222 755
1 23 2703 929
1 24 2717 934
1 25 2776 952
1 26 3428 1157
1 27 3443 1162
1 28 3461 1167
1 29 3475 1172
1 30 3497 1178
1 31 4246 1412
1 32 4261 1417
1 33 4274 1422
1 34 4296 1427
1 35 4308 1432
1 36 4324 1437
1 37 4343 1442
1 38 4356 1447
1 39 4378 1452
1 40 4389 1457
1 41 4410 1462
1 42 4429 1467
1 43 4979 1653
1 44 4996 1658
