#data counter step time
1 1 29 1
1 2 38 3
1 3 51 5
1 4 59 9
1 5 74 15
1 6 98 23
1 7 141 38
1 8 207 60
1 9 270 91
1 10 281 95
1 11 289 97
1 12 291 98
1 13 320 106
1 14 363 122
1 15 395 129
1 16 460 152
1 17 529 177
1 18 561 191
1 19 568 194
1 20 624 211
1 21 627 212
1 22 687 232
1 23 703 236
1 24 718 242
1 25 756 253
1 26 763 254
1 27 772 256
1 28 810 265
1 29 814 267
1 30 859 276
1 31 888 283
1 32 960 314
1 33 964 314
1 34 1005 329
1 35 1053 343
1 36 1064 348
1 37 1077 353
1 38 1129 369
1 39 1133 371
1 40 1176 385
1 41 1254 413
1 42 1256 413
1 43 1278 423
1 44 1347 445
1 45 1356 449
1 46 1416 474
1 47 1437 484
1 48 1477 499
1 49 1491 504
1 50 1577 537
1 51 1633 554
1 52 1703 578
1 53 1768 603
1 54 1783 607
1 55 1850 627
1 56 1851 627
1 57 1872 633
1 58 1912 646
1 59 1916 647
1 60 1974 661
1 61 2008 678
1 62 2055 694
1 63 2072 698
1 64 2081 700
1 65 2097 708
1 66 2117 716
1 67 2131 721
1 68 2229 758
1 69 2242 766
1 70 2255 770
1 71 2298 785
1 72 2311 791
1 73 2316 792
1 74 2323 793
1 75 2348 802
1 76 2350 802
1 77 2381 818
1 78 2403 826
1 79 2455 845
1 80 2470 850
1 81 2585 889
1 82 2645 909
1 83 2721 936
1 84 2768 952
1 85 2837 971
1 86 2855 976
1 87 2960 1013
1 88 2997 1028
1 89 3017 1033
1 90 3027 1035
1 91 3049 1042
1 92 3055 1044
1 93 3070 1049
1 94 3100 1061
1 95 3104 1063
1 96 3206 1090
1 97 3252 1107
1 98 3300 1118
1 99 3354 1132
1 100 3378 1138
1 101 3430 1157
1 102 3431 1158
1 103 3466 1170
1 104 3520 1182
1 105 3558 1195
1 106 3610 1212
1 107 3693 1241
1 108 3733 1252
1 109 3754 1259
1 110 3761 1261
1 111 3780 1266
1 112 3942 1321
1 113 3946 1322
1 114 3990 1337
1 115 3992 1337
1 116 4009 1341
1 117 4017 1344
1 118 4020 1345
1 119 4041 1353
1 120 4058 1359
1 121 4067 1361
1 122 4077 1364
1 123 4098 1371
1 124 4127 1378
1 125 4131 1380
1 126 4186 1393
1 127 4193 1394
1 128 4217 1401
1 129 4221 1403
1 130 4237 1408
1 131 4254 1414
1 132 4357 1448
1 133 4391 1457
1 134 4406 1461
1 135 4412 1462
1 136 4415 1462
1 137 4417 1462
1 138 4497 1494
1 139 4507 1495
1 140 4514 1497
1 141 4545 1507
1 142 4643 1544
1 143 4654 1547
1 144 4689 1556
1 145 4716 1563
1 146 4729 1569
1 147 4736 1570
1 148 4741 1575
1 149 4768 1583
1 150 4866 1614
1 151 4897 1629
1 152 4921 1633
1 153 4946 1639
1 154 5000 1661
