#data counter step time
1 1 39 3
1 2 122 30
1 3 299 100
1 4 386 126
1 5 402 132
1 6 851 274
1 7 993 325
1 8 1069 351
1 9 1106 362
1 10 1118 365
1 11 1294 429
1 12 1297 430
1 13 1394 461
1 14 1599 543
1 15 1663 561
1 16 1867 631
1 17 1903 643
1 18 1953 657
1 19 1972 661
1 20 2016 681
1 21 2030 684
1 22 2046 690
1 23 2499 860
1 24 2684 923
1 25 2770 952
1 26 2882 985
1 27 3146 1078
1 28 3182 1086
1 29 3398 1148
1 30 3493 1178
1 31 3682 1237
1 32 3719 1247
1 33 3848 1289
1 34 3923 1313
1 35 3953 1323
1 36 4032 1348
1 37 4114 1374
1 38 4168 1388
1 39 4204 1397
1 40 4226 1403
1 41 4232 1406
1 42 4316 1435
1 43 4533 1502
1 44 4542 1506
1 45 4652 1545
1 46 4660 1548
1 47 4781 1586
1 48 4819 1600
1 49 4902 1630
1 50 4954 1643
1 51 4961 1645
