#data counter step time
1 1 4 0
1 2 53 11
1 3 122 39
1 4 145 53
1 5 147 54
1 6 183 69
1 7 214 83
1 8 217 85
1 9 239 91
1 10 331 122
1 11 340 125
1 12 387 138
1 13 398 141
1 14 425 151
1 15 438 154
1 16 458 160
1 17 479 166
1 18 484 168
1 19 497 172
1 20 541 184
1 21 580 197
1 22 581 197
1 23 601 205
1 24 603 205
1 25 621 209
1 26 679 229
1 27 686 233
1 28 748 257
1 29 833 285
1 30 869 300
1 31 891 307
1 32 906 310
1 33 914 313
1 34 993 338
1 35 995 339
1 36 1040 355
1 37 1044 356
1 38 1079 367
1 39 1104 378
1 40 1191 409
1 41 1193 409
1 42 1207 412
1 43 1316 450
1 44 1348 461
1 45 1353 463
1 46 1396 474
1 47 1398 474
1 48 1450 498
1 49 1511 519
1 50 1550 530
1 51 1592 544
1 52 1605 546
1 53 1621 551
1 54 1632 553
1 55 1655 558
1 56 1683 570
1 57 1689 574
1 58 1691 574
1 59 1696 576
1 60 1699 576
1 61 1751 596
1 62 1762 598
1 63 1783 606
1 64 1798 609
1 65 1833 619
1 66 1845 623
1 67 1892 644
1 68 1901 647
1 69 1932 656
1 70 1937 658
1 71 1953 664
1 72 1971 672
1 73 1975 674
1 74 2040 691
1 75 2089 707
1 76 2098 710
1 77 2204 752
1 78 2208 753
1 79 2251 766
1 80 2289 775
1 81 2295 779
1 82 2311 785
1 83 2330 790
1 84 2354 796
1 85 2387 806
1 86 2410 814
1 87 2464 831
1 88 2467 831
1 89 2542 863
1 90 2543 863
1 91 2556 870
1 92 2610 890
1 93 2630 896
1 94 2713 925
1 95 2718 926
1 96 2735 932
1 97 2770 942
1 98 2786 946
1 99 2826 961
1 100 2840 969
1 101 2941 1001
1 102 2991 1016
1 103 2998 1018
1 104 3004 1019
1 105 3015 1021
1 106 3047 1035
1 107 3048 1036
1 108 3089 1048
1 109 3096 1052
1 110 3150 1067
1 111 3156 1068
1 112 3167 1070
1 113 3226 1094
1 114 3262 1106
1 115 3271 1110
1 116 3272 1110
1 117 3286 1113
1 118 3382 1149
1 119 3392 1151
1 120 3393 1152
1 121 3416 1161
1 122 3472 1181
1 123 3522 1198
1 124 3574 1215
1 125 3583 1218
1 126 3600 1224
1 127 3602 1224
1 128 3630 1237
1 129 3660 1246
1 130 3669 1248
1 131 3682 1252
1 132 3696 1255
1 133 3735 1267
1 134 3740 1267
1 135 3780 1277
1 136 3789 1280
1 137 3807 1285
1 138 3808 1285
1 139 3830 1294
1 140 3907 1318
1 141 3931 1330
1 142 3937 1331
1 143 3948 1333
1 144 3960 1336
1 145 4015 1361
1 146 4016 1361
1 147 4042 1370
1 148 4054 1374
1 149 4070 1377
1 150 4083 1380
1 151 4130 1398
1 152 4140 1401
1 153 4148 1405
1 154 4159 1407
1 155 4229 1431
1 156 4245 1436
1 157 4247 1436
1 158 4263 1441
1 159 4297 1450
1 160 4302 1451
1 161 4358 1472
1 162 4387 1479
1 163 4409 1489
1 164 4413 1489
1 165 4455 1505
1 166 4536 1535
1 167 4551 1540
1 168 4575 1549
1 169 4614 1556
1 170 4652 1568
1 171 4656 1570
1 172 4681 1576
1 173 4710 1585
1 174 4713 1585
1 175 4736 1594
1 176 4766 1603
1 177 4786 1609
1 178 4912 1657
1 179 4933 1663
1 180 4935 1664
1 181 4938 1664
