#data counter step time
1 1 12 0
1 2 32 4
1 3 206 80
1 4 222 85
1 5 277 107
1 6 355 131
1 7 434 153
1 8 780 269
1 9 1099 377
1 10 1154 394
1 11 1391 472
1 12 1412 481
1 13 1428 489
1 14 1574 538
1 15 1649 557
1 16 1703 578
1 17 1782 606
1 18 1793 607
1 19 1920 653
1 20 2057 697
1 21 2182 742
1 22 2266 771
1 23 2369 800
1 24 2615 892
1 25 2739 932
1 26 2811 956
1 27 2931 996
1 28 2957 1008
1 29 3092 1050
1 30 3134 1064
1 31 3283 1112
1 32 3324 1126
1 33 3388 1150
1 34 3468 1178
1 35 3535 1203
1 36 3612 1228
1 37 3699 1255
1 38 3704 1258
1 39 3730 1267
1 40 3741 1268
1 41 3810 1286
1 42 4091 1383
1 43 4102 1389
1 44 4190 1419
1 45 4237 1434
1 46 4542 1537
1 47 4563 1544
1 48 4565 1546
1 49 4627 1561
1 50 4666 1574
1 51 4797 1615
1 52 4839 1629
1 53 4917 1660
