#data counter step time
1 1 113 36
1 2 124 39
1 3 144 53
1 4 148 55
1 5 532 183
1 6 547 185
1 7 552 187
1 8 556 189
1 9 564 191
1 10 567 193
1 11 572 195
1 12 579 197
1 13 589 199
1 14 591 201
1 15 596 203
1 16 600 205
1 17 614 207
1 18 618 209
1 19 624 211
1 20 992 337
1 21 997 339
1 22 1004 341
1 23 1010 343
1 24 1017 345
1 25 1022 347
1 26 1027 349
1 27 1030 351
1 28 1035 353
1 29 1042 355
1 30 1052 357
1 31 1056 359
1 32 1065 361
1 33 1070 363
1 34 1074 365
1 35 1077 367
1 36 1082 369
1 37 1432 489
1 38 1435 491
1 39 1438 493
1 40 1445 495
1 41 1446 497
1 42 1452 499
1 43 1460 501
1 44 1465 503
1 45 1472 505
1 46 1478 507
1 47 1481 509
1 48 1885 641
1 49 1891 643
1 50 1895 645
1 51 1899 647
1 52 1908 649
1 53 1911 651
1 54 1916 653
1 55 1927 655
1 56 1935 657
1 57 1940 659
1 58 1944 661
1 59 1951 663
1 60 1955 665
1 61 1961 667
1 62 1963 669
1 63 2314 786
1 64 2323 788
1 65 2329 790
1 66 2338 792
1 67 2350 794
1 68 2355 796
1 69 2365 798
1 70 2371 800
1 71 2374 802
1 72 2377 804
1 73 2382 806
1 74 2391 808
1 75 2396 810
1 76 2405 812
1 77 2409 814
1 78 2749 935
1 79 2758 937
1 80 2763 939
1 81 2769 941
1 82 2775 943
1 83 2781 945
1 84 2790 947
1 85 2791 949
1 86 2798 951
1 87 2802 953
1 88 2804 955
1 89 2812 957
1 90 2820 959
1 91 2827 961
1 92 2830 963
1 93 3193 1081
1 94 3197 1083
1 95 3201 1085
1 96 3207 1087
1 97 3209 1089
1 98 3215 1091
1 99 3221 1093
1 100 3231 1095
1 101 3236 1097
1 102 3239 1099
1 103 3251 1101
1 104 3252 1103
1 105 3259 1105
1 106 3266 1107
1 107 3268 1109
1 108 3623 1235
1 109 3632 1237
1 110 3635 1239
1 111 3646 1241
1 112 3650 1243
1 113 3658 1245
1 114 3664 1247
1 115 3672 1249
1 116 3677 1251
1 117 3686 1253
1 118 3693 1255
1 119 3702 1257
1 120 3708 1259
1 121 3713 1261
1 122 3717 1263
1 123 3721 1265
1 124 3728 1267
1 125 3746 1269
1 126 3757 1271
1 127 3762 1273
1 128 3770 1275
1 129 3776 1277
1 130 3784 1279
1 131 3791 1281
1 132 3799 1283
1 133 3805 1285
1 134 3815 1287
1 135 3820 1289
1 136 4137 1401
1 137 4144 1403
1 138 4150 1405
1 139 4157 1407
1 140 4163 1409
1 141 4167 1411
1 142 4168 1413
1 143 4174 1415
1 144 4184 1417
1 145 4191 1419
1 146 4199 1421
1 147 4205 1423
1 148 4206 1425
1 149 4214 1427
1 150 4221 1429
1 151 4227 1431
1 152 4637 1563
1 153 4644 1565
1 154 4647 1567
1 155 4653 1569
1 156 4657 1571
1 157 4661 1573
1 158 4671 1575
1 159 4682 1577
1 160 4687 1579
1 161 4695 1581
1 162 4704 1583
1 163 4709 1585
1 164 4718 1587
1 165 4726 1589
1 166 4731 1591
1 167 4733 1593
