#data counter step time
1 1 114 36
1 2 537 183
1 3 554 188
1 4 568 193
1 5 587 198
1 6 597 203
1 7 989 337
1 8 1430 489
1 9 1442 494
1 10 1453 499
1 11 1469 504
1 12 1482 509
1 13 1888 641
1 14 1898 646
1 15 1912 651
1 16 1933 656
1 17 1946 661
1 18 1957 666
1 19 2313 786
1 20 2335 791
1 21 2356 796
1 22 2372 801
1 23 2748 935
1 24 2765 940
1 25 2810 956
1 26 3191 1081
1 27 3206 1086
1 28 3216 1091
1 29 3235 1096
1 30 3625 1235
1 31 3642 1240
1 32 3657 1245
1 33 3676 1250
1 34 3700 1255
1 35 3709 1260
1 36 3722 1265
1 37 3752 1270
1 38 3767 1275
1 39 3788 1280
1 40 3812 1286
1 41 4136 1401
1 42 4152 1406
1 43 4188 1419
1 44 4638 1563
1 45 4651 1568
1 46 4660 1573
1 47 4685 1578
1 48 4703 1583
1 49 4719 1588
