#data counter step time
1 1 57 11
1 2 123 39
1 3 143 53
1 4 146 54
1 5 182 69
1 6 213 83
1 7 218 85
1 8 237 91
1 9 329 122
1 10 341 125
1 11 386 138
1 12 400 141
1 13 424 151
1 14 436 154
1 15 457 160
1 16 477 166
1 17 483 168
1 18 498 172
1 19 542 184
1 20 582 197
1 21 584 197
1 22 602 205
1 23 604 205
1 24 620 209
1 25 680 229
1 26 689 233
1 27 749 257
1 28 832 285
1 29 871 300
1 30 889 307
1 31 904 310
1 32 917 313
1 33 994 338
1 34 998 339
1 35 1041 355
1 36 1046 356
1 37 1076 367
1 38 1102 378
1 39 1192 409
1 40 1196 409
1 41 1206 412
1 42 1317 450
1 43 1347 461
1 44 1355 463
1 45 1395 474
1 46 1400 474
1 47 1451 498
1 48 1509 519
1 49 1552 530
1 50 1593 544
1 51 1603 546
1 52 1622 551
1 53 1635 553
1 54 1654 558
1 55 1682 570
1 56 1690 574
1 57 1694 574
1 58 1697 576
1 59 1700 576
1 60 1750 596
1 61 1763 598
1 62 1784 606
1 63 1801 609
1 64 1828 619
1 65 1843 623
1 66 1893 644
1 67 1903 647
1 68 1929 656
1 69 1939 658
1 70 1954 664
1 71 1967 672
1 72 1973 674
1 73 2039 691
1 74 2086 707
1 75 2096 710
1 76 2205 752
1 77 2209 753
1 78 2250 766
1 79 2290 775
1 80 2299 779
1 81 2309 785
1 82 2331 790
1 83 2353 796
1 84 2384 806
1 85 2412 814
1 86 2461 831
1 87 2465 831
1 88 2541 863
1 89 2544 863
1 90 2555 870
1 91 2611 890
1 92 2632 896
1 93 2714 925
1 94 2716 926
1 95 2738 932
1 96 2773 942
1 97 2789 946
1 98 2828 961
1 99 2842 969
1 100 2942 1001
1 101 2992 1016
1 102 2997 1018
1 103 3002 1019
1 104 3017 1021
1 105 3045 1035
1 106 3051 1036
1 107 3088 1048
1 108 3097 1052
1 109 3152 1067
1 110 3159 1068
1 111 3168 1070
1 112 3225 1094
1 113 3261 1106
1 114 3269 1110
1 115 3274 1110
1 116 3287 1113
1 117 3383 1149
1 118 3390 1151
1 119 3397 1152
1 120 3418 1161
1 121 3473 1181
1 122 3521 1198
1 123 3575 1215
1 124 3582 1218
1 125 3597 1224
1 126 3601 1224
1 127 3631 1237
1 128 3661 1246
1 129 3668 1248
1 130 3681 1252
1 131 3695 1255
1 132 3729 1267
1 133 3736 1267
1 134 3779 1277
1 135 3790 1280
1 136 3806 1285
1 137 3809 1285
1 138 3829 1294
1 139 3903 1318
1 140 3930 1330
1 141 3938 1331
1 142 3946 1333
1 143 3956 1336
1 144 4013 1361
1 145 4017 1361
1 146 4045 1370
1 147 4051 1374
1 148 4066 1377
1 149 4082 1380
1 150 4129 1398
1 151 4138 1401
1 152 4149 1405
1 153 4158 1407
1 154 4225 1431
1 155 4244 1436
1 156 4246 1436
1 157 4262 1441
1 158 4294 1450
1 159 4300 1451
1 160 4361 1472
1 161 4386 1479
1 162 4411 1489
1 163 4412 1489
1 164 4460 1505
1 165 4538 1535
1 166 4550 1540
1 167 4578 1549
1 168 4608 1556
1 169 4650 1568
1 170 4655 1570
1 171 4678 1576
1 172 4707 1585
1 173 4711 1585
1 174 4738 1594
1 175 4767 1603
1 176 4785 1609
1 177 4914 1657
1 178 4930 1663
1 179 4934 1664
1 180 4937 1664
