#data counter step time
1 1 31 4
1 2 207 80
1 3 219 85
1 4 279 107
1 5 354 131
1 6 431 153
1 7 783 269
1 8 1100 377
1 9 1156 394
1 10 1386 472
1 11 1411 481
1 12 1429 489
1 13 1575 538
1 14 1651 557
1 15 1704 578
1 16 1788 606
1 17 1794 607
1 18 1922 653
1 19 2055 697
1 20 2181 742
1 21 2263 771
1 22 2370 800
1 23 2618 892
1 24 2734 932
1 25 2809 956
1 26 2928 996
1 27 2959 1008
1 28 3091 1050
1 29 3133 1064
1 30 3280 1112
1 31 3321 1126
1 32 3384 1150
1 33 3465 1178
1 34 3538 1203
1 35 3613 1228
1 36 3698 1255
1 37 3706 1258
1 38 3737 1267
1 39 3744 1268
1 40 3811 1286
1 41 4090 1383
1 42 4103 1389
1 43 4187 1419
1 44 4238 1434
1 45 4540 1537
1 46 4564 1544
1 47 4568 1546
1 48 4630 1561
1 49 4665 1574
1 50 4796 1615
1 51 4838 1629
1 52 4916 1660
