#data counter step time
1 1 5 0
1 2 40 7
1 3 46 10
1 4 95 29
1 5 117 37
1 6 119 38
1 7 184 70
1 8 290 110
1 9 349 128
1 10 391 140
1 11 506 175
1 12 544 184
1 13 550 186
1 14 559 190
1 15 611 207
1 16 637 213
1 17 657 222
1 18 668 225
1 19 708 240
1 20 720 245
1 21 764 263
1 22 771 267
1 23 782 269
1 24 813 278
1 25 853 293
1 26 951 324
1 27 983 334
1 28 1005 341
1 29 1016 344
1 30 1063 361
1 31 1067 362
1 32 1097 377
1 33 1144 392
1 34 1149 393
1 35 1234 422
1 36 1235 422
1 37 1237 423
1 38 1297 443
1 39 1356 464
1 40 1378 469
1 41 1409 479
1 42 1441 494
1 43 1448 498
1 44 1462 502
1 45 1470 505
1 46 1502 516
1 47 1532 525
1 48 1558 532
1 49 1569 537
1 50 1573 538
1 51 1584 541
1 52 1609 546
1 53 1610 547
1 54 1647 556
1 55 1661 560
1 56 1662 561
1 57 1675 568
1 58 1692 574
1 59 1723 584
1 60 1734 589
1 61 1760 598
1 62 1780 605
1 63 1819 615
1 64 1830 619
1 65 1853 625
1 66 1869 634
1 67 1887 641
1 68 1915 653
1 69 1942 660
1 70 1970 672
1 71 2054 697
1 72 2056 697
1 73 2146 730
1 74 2193 749
1 75 2218 757
1 76 2232 760
1 77 2270 771
1 78 2283 773
1 79 2321 787
1 80 2337 792
1 81 2347 794
1 82 2393 810
1 83 2415 814
1 84 2417 814
1 85 2419 814
1 86 2428 817
1 87 2450 826
1 88 2518 856
1 89 2553 870
1 90 2616 892
1 91 2663 904
1 92 2683 912
1 93 2721 928
1 94 2816 958
1 95 2823 961
1 96 2870 974
1 97 2881 979
1 98 2900 983
1 99 2982 1015
1 100 2985 1015
1 101 3000 1018
1 102 3018 1021
1 103 3050 1036
1 104 3057 1037
1 105 3075 1045
1 106 3111 1056
1 107 3131 1063
1 108 3151 1067
1 109 3185 1078
1 110 3198 1083
1 111 3208 1089
1 112 3241 1099
1 113 3253 1103
1 114 3255 1104
1 115 3284 1113
1 116 3298 1118
1 117 3310 1122
1 118 3330 1129
1 119 3336 1131
1 120 3361 1139
1 121 3402 1155
1 122 3405 1156
1 123 3475 1182
1 124 3487 1189
1 125 3489 1189
1 126 3503 1194
1 127 3556 1210
1 128 3564 1212
1 129 3587 1221
1 130 3649 1242
1 131 3653 1244
1 132 3694 1255
1 133 3768 1275
1 134 3794 1281
1 135 3795 1282
1 136 3823 1290
1 137 3832 1295
1 138 3850 1302
1 139 3855 1304
1 140 3873 1309
1 141 3899 1317
1 142 3964 1338
1 143 4011 1359
1 144 4019 1362
1 145 4057 1375
1 146 4058 1375
1 147 4065 1377
1 148 4105 1390
1 149 4145 1404
1 150 4155 1406
1 151 4171 1413
1 152 4179 1417
1 153 4195 1420
1 154 4200 1422
1 155 4220 1429
1 156 4272 1443
1 157 4367 1474
1 158 4371 1475
1 159 4471 1508
1 160 4475 1510
1 161 4525 1531
1 162 4571 1548
1 163 4610 1556
1 164 4641 1565
1 165 4670 1575
1 166 4693 1580
1 167 4712 1585
1 168 4741 1595
1 169 4758 1600
1 170 4765 1603
1 171 4779 1608
1 172 4783 1609
1 173 4824 1624
1 174 4888 1650
1 175 4891 1651
1 176 4922 1661
1 177 4956 1676
1 178 4969 1681
