#data counter step time
1 1 10 0
1 2 34 6
1 3 51 11
1 4 153 57
1 5 276 107
1 6 361 132
1 7 448 158
1 8 492 171
1 9 525 179
1 10 529 182
1 11 684 232
1 12 880 303
1 13 899 309
1 14 958 327
1 15 1000 339
1 16 1086 370
1 17 1117 381
1 18 1168 399
1 19 1205 411
1 20 1370 468
1 21 1625 552
1 22 1644 555
1 23 1652 557
1 24 1752 596
1 25 1847 624
1 26 1977 675
1 27 2019 685
1 28 2029 688
1 29 2077 703
1 30 2090 708
1 31 2267 771
1 32 2363 798
1 33 2485 840
1 34 2622 894
1 35 2700 917
1 36 2772 942
1 37 2895 982
1 38 3003 1019
1 39 3023 1024
1 40 3079 1046
1 41 3223 1093
1 42 3314 1123
1 43 3333 1129
1 44 3340 1132
1 45 3422 1161
1 46 3502 1194
1 47 3568 1214
1 48 3674 1249
1 49 3719 1264
1 50 3750 1270
1 51 3754 1270
1 52 3764 1274
1 53 3773 1276
1 54 3778 1277
1 55 3864 1307
1 56 3986 1350
1 57 4075 1378
1 58 4118 1394
1 59 4175 1415
1 60 4226 1431
1 61 4235 1434
1 62 4286 1446
1 63 4336 1464
1 64 4442 1499
1 65 4451 1503
1 66 4511 1522
1 67 4515 1527
1 68 4692 1580
1 69 4701 1582
1 70 4722 1589
1 71 4808 1620
1 72 4897 1652
1 73 4909 1656
1 74 4993 1689
