#data counter step time
1 1 41 7
1 2 50 10
1 3 96 29
1 4 418 148
1 5 420 150
1 6 426 152
1 7 437 154
1 8 445 156
1 9 447 158
1 10 508 175
1 11 863 298
1 12 870 300
1 13 874 302
1 14 883 304
1 15 887 306
1 16 892 308
1 17 905 310
1 18 913 312
1 19 921 314
1 20 925 316
1 21 930 318
1 22 934 320
1 23 944 322
1 24 946 324
1 25 957 326
1 26 1321 454
1 27 1325 456
1 28 1337 458
1 29 1341 460
1 30 1351 462
1 31 1358 464
1 32 1368 466
1 33 1373 468
1 34 1380 470
1 35 1385 472
1 36 1394 474
1 37 1402 476
1 38 1406 478
1 39 1410 480
1 40 1415 482
1 41 1789 606
1 42 1797 608
1 43 1803 610
1 44 1810 612
1 45 1812 614
1 46 1820 616
1 47 1827 618
1 48 1834 620
1 49 1841 622
1 50 1848 624
1 51 1855 626
1 52 1857 628
1 53 1860 630
1 54 1863 632
1 55 1867 634
1 56 2203 751
1 57 2207 753
1 58 2211 755
1 59 2222 757
1 60 2228 759
1 61 2237 761
1 62 2244 763
1 63 2245 765
1 64 2256 767
1 65 2259 769
1 66 2265 771
1 67 2284 773
1 68 2287 775
1 69 2293 777
1 70 2298 779
1 71 2628 896
1 72 2637 898
1 73 2646 900
1 74 2655 902
1 75 2662 904
1 76 2668 906
1 77 2674 908
1 78 2679 910
1 79 2684 912
1 80 2692 914
1 81 2698 916
1 82 2705 918
1 83 2706 920
1 84 2711 922
1 85 2712 924
1 86 2715 926
1 87 2723 928
1 88 3078 1046
1 89 3090 1048
1 90 3093 1050
1 91 3095 1052
1 92 3103 1054
1 93 3114 1056
1 94 3116 1058
1 95 3120 1060
1 96 3126 1062
1 97 3139 1064
1 98 3146 1066
1 99 3153 1068
1 100 3169 1070
1 101 3175 1072
1 102 3178 1074
1 103 3497 1192
1 104 3507 1194
1 105 3510 1196
1 106 3518 1198
1 107 3525 1200
1 108 3532 1202
1 109 3539 1204
1 110 3548 1206
1 111 3553 1208
1 112 3555 1210
1 113 3565 1212
1 114 3570 1214
1 115 3578 1216
1 116 3584 1218
1 117 3585 1220
1 118 3593 1222
1 119 3599 1224
1 120 3607 1226
1 121 3610 1228
1 122 4027 1366
1 123 4038 1368
1 124 4043 1370
1 125 4048 1372
1 126 4050 1374
1 127 4063 1376
1 128 4072 1378
1 129 4081 1380
1 130 4087 1382
1 131 4092 1384
1 132 4098 1386
1 133 4100 1388
1 134 4106 1390
1 135 4110 1392
1 136 4121 1394
1 137 4519 1528
1 138 4522 1530
1 139 4530 1532
1 140 4535 1534
1 141 4539 1536
1 142 4545 1538
1 143 4552 1540
1 144 4555 1542
1 145 4561 1544
1 146 4567 1546
1 147 4573 1548
1 148 4579 1550
1 149 4586 1552
1 150 4596 1554
1 151 4617 1556
1 152 4961 1677
1 153 4963 1679
1 154 4966 1681
1 155 4977 1683
1 156 4981 1685
1 157 4990 1687
1 158 4995 1689
1 159 4998 1691
