#data counter step time
1 1 36 6
1 2 55 11
1 3 416 148
1 4 430 153
1 5 451 158
1 6 471 163
1 7 494 171
1 8 860 298
1 9 879 303
1 10 895 308
1 11 916 313
1 12 929 318
1 13 961 327
1 14 1324 454
1 15 1339 459
1 16 1363 464
1 17 1375 469
1 18 1397 474
1 19 1407 479
1 20 1792 606
1 21 1808 611
1 22 1821 616
1 23 1838 621
1 24 1856 626
1 25 2199 751
1 26 2214 756
1 27 2238 761
1 28 2253 766
1 29 2268 771
1 30 2292 776
1 31 2633 896
1 32 2651 901
1 33 2669 906
1 34 2704 917
1 35 3081 1046
1 36 3094 1051
1 37 3115 1056
1 38 3125 1061
1 39 3145 1066
1 40 3498 1192
1 41 3511 1197
1 42 3529 1202
1 43 3550 1207
1 44 3562 1212
1 45 3581 1217
1 46 3594 1222
1 47 4031 1366
1 48 4046 1371
1 49 4064 1376
1 50 4086 1381
1 51 4097 1386
1 52 4107 1391
1 53 4520 1528
1 54 4531 1533
1 55 4546 1538
1 56 4560 1543
1 57 4574 1548
1 58 4588 1553
1 59 4958 1677
1 60 4972 1682
1 61 4988 1687
