#data counter step time
1 1 39 7
1 2 49 10
1 3 94 29
1 4 118 37
1 5 120 38
1 6 186 70
1 7 291 110
1 8 346 128
1 9 394 140
1 10 507 175
1 11 540 184
1 12 549 186
1 13 561 190
1 14 613 207
1 15 636 213
1 16 659 222
1 17 670 225
1 18 707 240
1 19 719 245
1 20 766 263
1 21 772 267
1 22 784 269
1 23 812 278
1 24 854 293
1 25 947 324
1 26 984 334
1 27 1002 341
1 28 1015 344
1 29 1064 361
1 30 1066 362
1 31 1098 377
1 32 1147 392
1 33 1151 393
1 34 1232 422
1 35 1236 422
1 36 1240 423
1 37 1296 443
1 38 1361 464
1 39 1379 469
1 40 1408 479
1 41 1443 494
1 42 1449 498
1 43 1463 502
1 44 1471 505
1 45 1504 516
1 46 1533 525
1 47 1557 532
1 48 1570 537
1 49 1576 538
1 50 1585 541
1 51 1607 546
1 52 1612 547
1 53 1648 556
1 54 1660 560
1 55 1663 561
1 56 1676 568
1 57 1693 574
1 58 1725 584
1 59 1732 589
1 60 1761 598
1 61 1779 605
1 62 1817 615
1 63 1832 619
1 64 1854 625
1 65 1868 634
1 66 1884 641
1 67 1919 653
1 68 1941 660
1 69 1969 672
1 70 2053 697
1 71 2058 697
1 72 2147 730
1 73 2191 749
1 74 2220 757
1 75 2231 760
1 76 2271 771
1 77 2279 773
1 78 2318 787
1 79 2339 792
1 80 2349 794
1 81 2392 810
1 82 2413 814
1 83 2416 814
1 84 2418 814
1 85 2430 817
1 86 2449 826
1 87 2521 856
1 88 2557 870
1 89 2617 892
1 90 2661 904
1 91 2686 912
1 92 2724 928
1 93 2815 958
1 94 2824 961
1 95 2869 974
1 96 2883 979
1 97 2899 983
1 98 2978 1015
1 99 2984 1015
1 100 2999 1018
1 101 3016 1021
1 102 3052 1036
1 103 3056 1037
1 104 3074 1045
1 105 3113 1056
1 106 3129 1063
1 107 3149 1067
1 108 3186 1078
1 109 3194 1083
1 110 3210 1089
1 111 3245 1099
1 112 3254 1103
1 113 3256 1104
1 114 3288 1113
1 115 3301 1118
1 116 3312 1122
1 117 3331 1129
1 118 3338 1131
1 119 3362 1139
1 120 3401 1155
1 121 3403 1156
1 122 3474 1182
1 123 3488 1189
1 124 3491 1189
1 125 3500 1194
1 126 3558 1210
1 127 3561 1212
1 128 3591 1221
1 129 3647 1242
1 130 3656 1244
1 131 3697 1255
1 132 3769 1275
1 133 3793 1281
1 134 3796 1282
1 135 3821 1290
1 136 3831 1295
1 137 3852 1302
1 138 3857 1304
1 139 3872 1309
1 140 3901 1317
1 141 3963 1338
1 142 4010 1359
1 143 4020 1362
1 144 4061 1375
1 145 4062 1375
1 146 4068 1377
1 147 4104 1390
1 148 4147 1404
1 149 4156 1406
1 150 4170 1413
1 151 4182 1417
1 152 4196 1420
1 153 4201 1422
1 154 4219 1429
1 155 4273 1443
1 156 4368 1474
1 157 4374 1475
1 158 4472 1508
1 159 4478 1510
1 160 4526 1531
1 161 4572 1548
1 162 4611 1556
1 163 4643 1565
1 164 4672 1575
1 165 4690 1580
1 166 4706 1585
1 167 4742 1595
1 168 4757 1600
1 169 4768 1603
1 170 4781 1608
1 171 4787 1609
1 172 4821 1624
1 173 4889 1650
1 174 4890 1651
1 175 4921 1661
1 176 4953 1676
1 177 4965 1681
