#data counter step time
1 1 33 6
1 2 54 11
1 3 157 57
1 4 278 107
1 5 363 132
1 6 449 158
1 7 493 171
1 8 526 179
1 9 530 182
1 10 683 232
1 11 878 303
1 12 900 309
1 13 959 327
1 14 996 339
1 15 1085 370
1 16 1114 381
1 17 1169 399
1 18 1204 411
1 19 1371 468
1 20 1623 552
1 21 1642 555
1 22 1653 557
1 23 1749 596
1 24 1852 624
1 25 1979 675
1 26 2018 685
1 27 2026 688
1 28 2079 703
1 29 2091 708
1 30 2272 771
1 31 2362 798
1 32 2483 840
1 33 2623 894
1 34 2703 917
1 35 2771 942
1 36 2897 982
1 37 3005 1019
1 38 3025 1024
1 39 3080 1046
1 40 3224 1093
1 41 3315 1123
1 42 3332 1129
1 43 3342 1132
1 44 3419 1161
1 45 3506 1194
1 46 3567 1214
1 47 3675 1249
1 48 3718 1264
1 49 3749 1270
1 50 3753 1270
1 51 3763 1274
1 52 3772 1276
1 53 3777 1277
1 54 3865 1307
1 55 3987 1350
1 56 4074 1378
1 57 4119 1394
1 58 4176 1415
1 59 4224 1431
1 60 4234 1434
1 61 4285 1446
1 62 4335 1464
1 63 4443 1499
1 64 4452 1503
1 65 4509 1522
1 66 4516 1527
1 67 4688 1580
1 68 4697 1582
1 69 4725 1589
1 70 4810 1620
1 71 4896 1652
1 72 4910 1656
1 73 4991 1689
