#data counter step time
1 1 20 0
1 2 24 1
1 3 79 22
1 4 86 24
1 5 139 52
1 6 203 79
1 7 226 88
1 8 233 90
1 9 248 99
1 10 288 108
1 11 297 113
1 12 317 119
1 13 324 121
1 14 336 123
1 15 347 128
1 16 380 137
1 17 383 137
1 18 433 153
1 19 439 155
1 20 466 163
1 21 472 165
1 22 514 177
1 23 521 179
1 24 534 183
1 25 577 197
1 26 594 202
1 27 635 213
1 28 645 217
1 29 710 241
1 30 711 241
1 31 734 253
1 32 752 258
1 33 756 259
1 34 820 281
1 35 851 292
1 36 894 308
1 37 942 322
1 38 967 329
1 39 970 330
1 40 1006 341
1 41 1033 352
1 42 1038 355
1 43 1053 358
1 44 1078 367
1 45 1093 376
1 46 1110 380
1 47 1197 409
1 48 1273 435
1 49 1279 437
1 50 1293 442
1 51 1305 444
1 52 1330 457
1 53 1362 464
1 54 1383 471
1 55 1404 477
1 56 1433 491
1 57 1492 514
1 58 1554 531
1 59 1561 534
1 60 1599 545
1 61 1600 545
1 62 1608 546
1 63 1626 552
1 64 1628 552
1 65 1738 591
1 66 1758 598
1 67 1776 604
1 68 1805 610
1 69 1809 612
1 70 1831 619
1 71 1850 624
1 72 1897 645
1 73 1904 648
1 74 1921 653
1 75 1938 658
1 76 1964 670
1 77 2002 681
1 78 2034 689
1 79 2143 728
1 80 2169 739
1 81 2221 757
1 82 2281 773
1 83 2326 788
1 84 2344 793
1 85 2533 861
1 86 2562 874
1 87 2567 876
1 88 2582 883
1 89 2665 905
1 90 2699 916
1 91 2701 917
1 92 2729 929
1 93 2742 933
1 94 2753 936
1 95 2779 945
1 96 2792 949
1 97 2835 965
1 98 2872 975
1 99 3012 1021
1 100 3060 1039
1 101 3067 1042
1 102 3122 1060
1 103 3141 1065
1 104 3154 1068
1 105 3205 1086
1 106 3247 1099
1 107 3278 1112
1 108 3448 1171
1 109 3541 1205
1 110 3640 1240
1 111 3680 1251
1 112 3687 1253
1 113 3691 1254
1 114 3918 1322
1 115 4003 1356
1 116 4006 1357
1 117 4025 1365
1 118 4114 1393
1 119 4135 1401
1 120 4162 1409
1 121 4193 1420
1 122 4203 1422
1 123 4209 1426
1 124 4255 1438
1 125 4268 1442
1 126 4310 1454
1 127 4328 1462
1 128 4337 1464
1 129 4348 1467
1 130 4383 1477
1 131 4403 1485
1 132 4415 1490
1 133 4420 1491
1 134 4421 1491
1 135 4423 1492
1 136 4484 1513
1 137 4486 1513
1 138 4496 1516
1 139 4541 1537
1 140 4557 1542
1 141 4577 1549
1 142 4615 1556
1 143 4624 1559
1 144 4625 1559
1 145 4649 1567
1 146 4694 1581
1 147 4698 1582
1 148 4732 1593
1 149 4780 1608
1 150 4871 1643
1 151 4893 1652
1 152 4918 1660
1 153 4947 1669
1 154 4955 1676
1 155 4994 1689
