#data counter step time
1 1 188 71
1 2 192 73
1 3 194 75
1 4 199 77
1 5 204 79
1 6 209 81
1 7 212 83
1 8 221 85
1 9 231 89
1 10 256 100
1 11 269 102
1 12 272 104
1 13 273 106
1 14 649 218
1 15 650 220
1 16 661 222
1 17 664 224
1 18 672 226
1 19 675 228
1 20 681 230
1 21 682 232
1 22 692 234
1 23 695 236
1 24 699 238
1 25 705 240
1 26 713 242
1 27 717 244
1 28 722 246
1 29 726 248
1 30 729 250
1 31 733 252
1 32 738 254
1 33 743 256
1 34 1092 376
1 35 1103 378
1 36 1113 380
1 37 1121 382
1 38 1126 384
1 39 1133 386
1 40 1137 388
1 41 1140 390
1 42 1145 392
1 43 1158 394
1 44 1161 396
1 45 1165 398
1 46 1171 400
1 47 1176 402
1 48 1179 404
1 49 1525 524
1 50 1534 526
1 51 1543 528
1 52 1551 530
1 53 1559 532
1 54 1565 534
1 55 1568 536
1 56 1571 538
1 57 1579 540
1 58 1587 542
1 59 1591 544
1 60 1606 546
1 61 1614 548
1 62 1618 550
1 63 1624 552
1 64 1641 554
1 65 1645 556
1 66 1985 676
1 67 1989 678
1 68 1999 680
1 69 2005 682
1 70 2015 684
1 71 2021 686
1 72 2028 688
1 73 2037 690
1 74 2043 692
1 75 2047 694
1 76 2049 696
1 77 2060 698
1 78 2063 700
1 79 2074 702
1 80 2081 704
1 81 2438 821
1 82 2444 823
1 83 2448 825
1 84 2455 827
1 85 2457 829
1 86 2463 831
1 87 2468 833
1 88 2472 835
1 89 2476 837
1 90 2481 839
1 91 2486 841
1 92 2494 843
1 93 2497 845
1 94 2504 847
1 95 2508 849
1 96 2851 970
1 97 2863 972
1 98 2867 974
1 99 2876 976
1 100 2880 978
1 101 2886 980
1 102 2893 982
1 103 2902 984
1 104 2907 986
1 105 2914 988
1 106 2916 990
1 107 2922 992
1 108 2925 994
1 109 2932 996
1 110 2935 998
1 111 3295 1116
1 112 3300 1118
1 113 3305 1120
1 114 3311 1122
1 115 3316 1124
1 116 3322 1126
1 117 3326 1128
1 118 3335 1130
1 119 3341 1132
1 120 3348 1134
1 121 3356 1136
1 122 3360 1138
1 123 3363 1140
1 124 3367 1142
1 125 3369 1144
1 126 3375 1146
1 127 3380 1148
1 128 3389 1150
1 129 3836 1296
1 130 3840 1298
1 131 3843 1300
1 132 3851 1302
1 133 3854 1304
1 134 3862 1306
1 135 3868 1308
1 136 3876 1310
1 137 3888 1312
1 138 3892 1314
1 139 3896 1316
1 140 3905 1318
1 141 3911 1320
1 142 3917 1322
1 143 3921 1324
1 144 4254 1438
1 145 4261 1440
1 146 4270 1442
1 147 4277 1444
1 148 4284 1446
1 149 4288 1448
1 150 4298 1450
1 151 4305 1452
1 152 4308 1454
1 153 4313 1456
1 154 4316 1458
1 155 4323 1460
1 156 4326 1462
1 157 4338 1464
1 158 4346 1466
1 159 4752 1600
1 160 4763 1602
1 161 4770 1604
1 162 4776 1606
1 163 4782 1608
1 164 4790 1610
1 165 4793 1612
1 166 4795 1614
1 167 4799 1616
1 168 4802 1618
1 169 4811 1620
1 170 4819 1622
1 171 4823 1624
1 172 4829 1626
1 173 4835 1628
1 174 4840 1630
