#data counter step time
1 1 16 0
1 2 29 3
1 3 64 14
1 4 166 60
1 5 250 99
1 6 263 101
1 7 323 121
1 8 460 161
1 9 918 313
1 10 928 318
1 11 962 327
1 12 1058 359
1 13 1122 383
1 14 1128 385
1 15 1211 413
1 16 1417 483
1 17 1740 592
1 18 1840 621
1 19 1974 674
1 20 1995 679
1 21 2068 700
1 22 2070 700
1 23 2155 734
1 24 2177 741
1 25 2200 751
1 26 2216 756
1 27 2357 797
1 28 2381 805
1 29 2385 806
1 30 2394 810
1 31 2484 840
1 32 2506 848
1 33 2596 886
1 34 2818 958
1 35 2857 971
1 36 2860 971
1 37 2970 1010
1 38 3035 1027
1 39 3105 1055
1 40 3108 1055
1 41 3163 1069
1 42 3244 1099
1 43 3727 1266
1 44 3959 1336
1 45 4018 1361
1 46 4084 1381
1 47 4241 1435
1 48 4243 1435
1 49 4267 1441
1 50 4282 1445
1 51 4301 1451
1 52 4311 1455
1 53 4342 1466
1 54 4384 1477
1 55 4441 1499
1 56 4479 1510
1 57 4482 1512
1 58 4548 1539
1 59 4815 1621
1 60 4841 1630
1 61 4880 1646
1 62 4989 1687
