#data counter step time
1 1 301 113
1 2 306 115
1 3 311 117
1 4 316 119
1 5 320 121
1 6 335 123
1 7 339 125
1 8 344 127
1 9 351 129
1 10 357 131
1 11 367 133
1 12 373 135
1 13 379 137
1 14 388 139
1 15 401 141
1 16 765 263
1 17 769 265
1 18 770 267
1 19 778 269
1 20 786 271
1 21 792 273
1 22 796 275
1 23 807 277
1 24 814 279
1 25 822 281
1 26 825 283
1 27 834 285
1 28 839 287
1 29 844 289
1 30 848 291
1 31 1202 411
1 32 1210 413
1 33 1218 415
1 34 1220 417
1 35 1228 419
1 36 1231 421
1 37 1239 423
1 38 1246 425
1 39 1255 427
1 40 1258 429
1 41 1262 431
1 42 1269 433
1 43 1276 435
1 44 1280 437
1 45 1284 439
1 46 1289 441
1 47 1295 443
1 48 1309 445
1 49 1310 447
1 50 1681 569
1 51 1684 571
1 52 1687 573
1 53 1695 575
1 54 1701 577
1 55 1708 579
1 56 1716 581
1 57 1720 583
1 58 1726 585
1 59 1730 587
1 60 1733 589
1 61 1737 591
1 62 1743 593
1 63 1747 595
1 64 1756 597
1 65 1766 599
1 66 2103 711
1 67 2108 713
1 68 2112 715
1 69 2115 717
1 70 2119 719
1 71 2121 721
1 72 2125 723
1 73 2133 725
1 74 2138 727
1 75 2144 729
1 76 2149 731
1 77 2152 733
1 78 2158 735
1 79 2173 739
1 80 2519 856
1 81 2526 858
1 82 2529 860
1 83 2539 862
1 84 2545 864
1 85 2564 874
1 86 2570 876
1 87 2584 883
1 88 2948 1005
1 89 2956 1007
1 90 2964 1009
1 91 2971 1011
1 92 2972 1013
1 93 2981 1015
1 94 2996 1017
1 95 3001 1019
1 96 3014 1021
1 97 3022 1023
1 98 3028 1025
1 99 3063 1039
1 100 3407 1157
1 101 3414 1159
1 102 3417 1161
1 103 3429 1163
1 104 3433 1165
1 105 3437 1167
1 106 3440 1169
1 107 3446 1171
1 108 3939 1331
1 109 3950 1333
1 110 3954 1335
1 111 3962 1337
1 112 3965 1339
1 113 3972 1341
1 114 4002 1356
1 115 4008 1358
1 116 4364 1473
1 117 4372 1475
1 118 4381 1477
1 119 4388 1479
1 120 4391 1481
1 121 4398 1483
1 122 4402 1485
1 123 4405 1487
1 124 4410 1489
1 125 4416 1491
1 126 4426 1493
1 127 4433 1495
1 128 4435 1497
1 129 4444 1499
1 130 4449 1501
1 131 4450 1503
1 132 4461 1505
1 133 4463 1507
1 134 4474 1509
1 135 4487 1513
1 136 4492 1515
1 137 4497 1517
1 138 4859 1637
1 139 4861 1639
1 140 4866 1641
1 141 4874 1643
1 142 4878 1645
1 143 4882 1647
1 144 4886 1649
1 145 4892 1651
1 146 4901 1653
1 147 4904 1655
1 148 4913 1657
1 149 4915 1659
1 150 4920 1661
1 151 4931 1663
1 152 4946 1669
