#data counter step time
1 1 299 113
1 2 313 118
1 3 334 123
1 4 350 128
1 5 366 133
1 6 385 138
1 7 762 263
1 8 1200 411
1 9 1219 416
1 10 1230 421
1 11 1249 426
1 12 1261 431
1 13 1277 436
1 14 1288 441
1 15 1678 569
1 16 1742 592
1 17 2105 711
1 18 2113 716
1 19 2122 721
1 20 2135 726
1 21 2148 731
1 22 2162 736
1 23 2179 741
1 24 2517 856
1 25 2534 861
1 26 2548 866
1 27 2558 871
1 28 2569 876
1 29 2577 881
1 30 2593 886
1 31 2950 1005
1 32 2968 1010
1 33 2983 1015
1 34 3009 1020
1 35 3026 1025
1 36 3038 1030
1 37 3046 1035
1 38 3412 1157
1 39 3425 1162
1 40 3438 1167
1 41 3450 1172
1 42 3943 1331
1 43 3957 1336
1 44 4366 1473
1 45 4385 1478
1 46 4399 1483
1 47 4408 1488
1 48 4427 1493
1 49 4440 1498
1 50 4453 1503
1 51 4470 1508
1 52 4485 1513
1 53 4500 1518
1 54 4858 1637
1 55 4869 1642
1 56 4881 1647
1 57 4894 1652
1 58 4911 1657
1 59 4929 1662
1 60 4942 1667
