#data counter step time
1 1 25 1
1 2 81 22
1 3 85 24
1 4 141 52
1 5 202 79
1 6 227 88
1 7 232 90
1 8 249 99
1 9 284 108
1 10 300 113
1 11 315 119
1 12 325 121
1 13 333 123
1 14 348 128
1 15 381 137
1 16 382 137
1 17 428 153
1 18 440 155
1 19 465 163
1 20 474 165
1 21 513 177
1 22 524 179
1 23 539 183
1 24 578 197
1 25 593 202
1 26 633 213
1 27 644 217
1 28 709 241
1 29 712 241
1 30 735 253
1 31 750 258
1 32 754 259
1 33 819 281
1 34 850 292
1 35 896 308
1 36 945 322
1 37 965 329
1 38 971 330
1 39 1007 341
1 40 1034 352
1 41 1039 355
1 42 1055 358
1 43 1080 367
1 44 1096 376
1 45 1109 380
1 46 1195 409
1 47 1274 435
1 48 1281 437
1 49 1291 442
1 50 1306 444
1 51 1331 457
1 52 1360 464
1 53 1384 471
1 54 1405 477
1 55 1437 491
1 56 1494 514
1 57 1556 531
1 58 1564 534
1 59 1596 545
1 60 1601 545
1 61 1604 546
1 62 1630 552
1 63 1631 552
1 64 1736 591
1 65 1764 598
1 66 1777 604
1 67 1804 610
1 68 1811 612
1 69 1829 619
1 70 1849 624
1 71 1896 645
1 72 1906 648
1 73 1917 653
1 74 1936 658
1 75 1965 670
1 76 2000 681
1 77 2033 689
1 78 2141 728
1 79 2171 739
1 80 2219 757
1 81 2282 773
1 82 2324 788
1 83 2343 793
1 84 2535 861
1 85 2563 874
1 86 2568 876
1 87 2583 883
1 88 2666 905
1 89 2696 916
1 90 2702 917
1 91 2728 929
1 92 2741 933
1 93 2752 936
1 94 2780 945
1 95 2794 949
1 96 2833 965
1 97 2874 975
1 98 3013 1021
1 99 3061 1039
1 100 3068 1042
1 101 3121 1060
1 102 3144 1065
1 103 3160 1068
1 104 3203 1086
1 105 3246 1099
1 106 3282 1112
1 107 3445 1171
1 108 3542 1205
1 109 3639 1240
1 110 3679 1251
1 111 3683 1253
1 112 3690 1254
1 113 3916 1322
1 114 4000 1356
1 115 4005 1357
1 116 4024 1365
1 117 4115 1393
1 118 4139 1401
1 119 4165 1409
1 120 4194 1420
1 121 4202 1422
1 122 4210 1426
1 123 4253 1438
1 124 4269 1442
1 125 4309 1454
1 126 4325 1462
1 127 4339 1464
1 128 4347 1467
1 129 4382 1477
1 130 4401 1485
1 131 4414 1490
1 132 4419 1491
1 133 4422 1491
1 134 4425 1492
1 135 4483 1513
1 136 4488 1513
1 137 4495 1516
1 138 4543 1537
1 139 4558 1542
1 140 4576 1549
1 141 4609 1556
1 142 4622 1559
1 143 4626 1559
1 144 4648 1567
1 145 4696 1581
1 146 4700 1582
1 147 4734 1593
1 148 4778 1608
1 149 4872 1643
1 150 4899 1652
1 151 4919 1660
1 152 4945 1669
1 153 4954 1676
1 154 4992 1689
