#data counter step time
1 1 28 3
1 2 63 14
1 3 167 60
1 4 251 99
1 5 262 101
1 6 321 121
1 7 463 161
1 8 920 313
1 9 931 318
1 10 960 327
1 11 1057 359
1 12 1123 383
1 13 1127 385
1 14 1213 413
1 15 1418 483
1 16 1741 592
1 17 1836 621
1 18 1976 674
1 19 1992 679
1 20 2067 700
1 21 2069 700
1 22 2156 734
1 23 2178 741
1 24 2198 751
1 25 2215 756
1 26 2360 797
1 27 2380 805
1 28 2383 806
1 29 2395 810
1 30 2482 840
1 31 2505 848
1 32 2595 886
1 33 2819 958
1 34 2858 971
1 35 2859 971
1 36 2969 1010
1 37 3033 1027
1 38 3109 1055
1 39 3110 1055
1 40 3164 1069
1 41 3240 1099
1 42 3724 1266
1 43 3955 1336
1 44 4012 1361
1 45 4085 1381
1 46 4240 1435
1 47 4242 1435
1 48 4265 1441
1 49 4279 1445
1 50 4299 1451
1 51 4312 1455
1 52 4345 1466
1 53 4379 1477
1 54 4445 1499
1 55 4477 1510
1 56 4481 1512
1 57 4549 1539
1 58 4816 1621
1 59 4843 1630
1 60 4879 1646
1 61 4987 1687
