#data counter step time
1 1 6 0
1 2 59 13
1 3 82 23
1 4 97 30
1 5 100 30
1 6 109 34
1 7 133 45
1 8 160 57
1 9 177 67
1 10 229 89
1 11 254 100
1 12 258 100
1 13 265 101
1 14 266 102
1 15 275 106
1 16 283 108
1 17 286 108
1 18 308 115
1 19 342 126
1 20 356 131
1 21 372 135
1 22 399 141
1 23 435 153
1 24 441 155
1 25 468 163
1 26 475 165
1 27 481 167
1 28 500 172
1 29 520 179
1 30 548 185
1 31 575 196
1 32 586 198
1 33 631 213
1 34 642 215
1 35 698 238
1 36 703 239
1 37 789 272
1 38 798 275
1 39 802 275
1 40 868 300
1 41 877 302
1 42 911 311
1 43 954 325
1 44 968 330
1 45 1047 357
1 46 1106 379
1 47 1130 386
1 48 1148 392
1 49 1155 394
1 50 1183 406
1 51 1214 414
1 52 1226 418
1 53 1254 426
1 54 1264 432
1 55 1287 440
1 56 1298 443
1 57 1312 448
1 58 1332 458
1 59 1366 465
1 60 1377 469
1 61 1390 472
1 62 1466 503
1 63 1484 509
1 64 1530 524
1 65 1546 530
1 66 1634 553
1 67 1670 565
1 68 1709 580
1 69 1714 580
1 70 1722 584
1 71 1757 597
1 72 1765 599
1 73 1785 606
1 74 1802 609
1 75 1816 615
1 76 1865 633
1 77 1875 637
1 78 1879 638
1 79 1923 654
1 80 1950 663
1 81 1986 677
1 82 2011 683
1 83 2016 684
1 84 2024 687
1 85 2031 689
1 86 2085 707
1 87 2092 709
1 88 2094 709
1 89 2114 717
1 90 2117 718
1 91 2123 723
1 92 2126 724
1 93 2168 738
1 94 2185 747
1 95 2239 761
1 96 2248 766
1 97 2249 766
1 98 2297 779
1 99 2303 781
1 100 2420 815
1 101 2462 831
1 102 2500 846
1 103 2501 846
1 104 2598 887
1 105 2601 888
1 106 2624 895
1 107 2642 899
1 108 2644 900
1 109 2656 902
1 110 2671 907
1 111 2680 910
1 112 2707 921
1 113 2762 938
1 114 2784 946
1 115 2796 950
1 116 2799 951
1 117 2806 956
1 118 2813 958
1 119 2854 970
1 120 2889 980
1 121 2905 985
1 122 2915 990
1 123 2973 1014
1 124 2987 1016
1 125 3053 1036
1 126 3073 1044
1 127 3102 1054
1 128 3128 1063
1 129 3183 1078
1 130 3219 1093
1 131 3248 1100
1 132 3303 1120
1 133 3346 1134
1 134 3364 1141
1 135 3386 1150
1 136 3444 1171
1 137 3455 1173
1 138 3459 1174
1 139 3481 1186
1 140 3516 1197
1 141 3519 1198
1 142 3534 1202
1 143 3544 1205
1 144 3608 1227
1 145 3627 1236
1 146 3689 1253
1 147 3739 1267
1 148 3745 1268
1 149 3760 1272
1 150 3782 1278
1 151 3785 1279
1 152 3841 1298
1 153 3866 1308
1 154 3875 1310
1 155 3877 1310
1 156 3878 1310
1 157 3885 1312
1 158 3933 1330
1 159 3941 1331
1 160 3952 1334
1 161 3969 1340
1 162 3974 1341
1 163 3979 1347
1 164 4080 1379
1 165 4172 1413
1 166 4251 1438
1 167 4319 1459
1 168 4329 1462
1 169 4355 1471
1 170 4397 1482
1 171 4466 1508
1 172 4504 1520
1 173 4528 1532
1 174 4553 1540
1 175 4585 1551
1 176 4595 1554
1 177 4605 1555
1 178 4621 1558
1 179 4664 1573
1 180 4674 1575
1 181 4675 1575
1 182 4814 1621
1 183 4833 1628
1 184 4864 1639
1 185 4895 1652
1 186 4925 1662
1 187 4997 1690
