#data counter step time
1 1 13 0
1 2 152 56
1 3 172 66
1 4 252 100
1 5 309 116
1 6 392 140
1 7 453 160
1 8 467 163
1 9 511 177
1 10 558 189
1 11 607 206
1 12 706 240
1 13 805 277
1 14 836 286
1 15 840 287
1 16 864 298
1 17 927 317
1 18 933 319
1 19 950 324
1 20 1241 423
1 21 1242 424
1 22 1292 442
1 23 1342 460
1 24 1474 506
1 25 1513 520
1 26 1520 523
1 27 1711 580
1 28 1815 614
1 29 1930 656
1 30 1956 666
1 31 2065 700
1 32 2161 736
1 33 2254 767
1 34 2306 782
1 35 2332 790
1 36 2424 815
1 37 2426 815
1 38 2442 823
1 39 2458 829
1 40 2657 902
1 41 2722 928
1 42 2853 970
1 43 2967 1009
1 44 3008 1020
1 45 3136 1064
1 46 3143 1065
1 47 3161 1069
1 48 3279 1112
1 49 3343 1133
1 50 3398 1154
1 51 3420 1161
1 52 3463 1176
1 53 3571 1214
1 54 3573 1214
1 55 3716 1262
1 56 3846 1300
1 57 3920 1324
1 58 3995 1352
1 59 4069 1377
1 60 4071 1378
1 61 4266 1441
1 62 4333 1463
1 63 4457 1505
1 64 4589 1553
1 65 4668 1574
1 66 4684 1577
1 67 4743 1596
1 68 4984 1686
1 69 5000 1691
