#data counter step time
1 1 189 71
1 2 197 76
1 3 260 100
1 4 647 218
1 5 663 223
1 6 674 228
1 7 691 233
1 8 701 238
1 9 714 243
1 10 727 248
1 11 736 253
1 12 1094 376
1 13 1115 381
1 14 1132 386
1 15 1141 391
1 16 1163 396
1 17 1174 401
1 18 1524 524
1 19 1544 529
1 20 1563 534
1 21 1578 539
1 22 1594 544
1 23 1616 549
1 24 1638 554
1 25 1657 559
1 26 1983 676
1 27 2001 681
1 28 2022 686
1 29 2038 691
1 30 2071 700
1 31 2437 821
1 32 2452 826
1 33 2466 831
1 34 2473 836
1 35 2488 841
1 36 2499 846
1 37 2846 970
1 38 2873 975
1 39 2885 980
1 40 2903 985
1 41 2917 990
1 42 3292 1116
1 43 3308 1121
1 44 3323 1126
1 45 3337 1131
1 46 3357 1136
1 47 3365 1141
1 48 3377 1146
1 49 3835 1296
1 50 3848 1301
1 51 3860 1306
1 52 3883 1311
1 53 3898 1316
1 54 3913 1321
1 55 4249 1438
1 56 4275 1443
1 57 4292 1448
1 58 4306 1453
1 59 4317 1458
1 60 4331 1463
1 61 4756 1600
1 62 4772 1605
1 63 4789 1610
1 64 4798 1615
1 65 4809 1620
1 66 4826 1625
