#data counter step time
1 1 62 13
1 2 84 23
1 3 98 30
1 4 102 30
1 5 108 34
1 6 132 45
1 7 158 57
1 8 178 67
1 9 230 89
1 10 255 100
1 11 257 100
1 12 264 101
1 13 267 102
1 14 274 106
1 15 285 108
1 16 287 108
1 17 305 115
1 18 343 126
1 19 360 131
1 20 374 135
1 21 403 141
1 22 429 153
1 23 443 155
1 24 470 163
1 25 473 165
1 26 480 167
1 27 499 172
1 28 523 179
1 29 545 185
1 30 576 196
1 31 585 198
1 32 630 213
1 33 643 215
1 34 700 238
1 35 702 239
1 36 788 272
1 37 795 275
1 38 804 275
1 39 872 300
1 40 875 302
1 41 909 311
1 42 953 325
1 43 969 330
1 44 1049 357
1 45 1105 379
1 46 1131 386
1 47 1143 392
1 48 1157 394
1 49 1187 406
1 50 1217 414
1 51 1227 418
1 52 1251 426
1 53 1263 432
1 54 1286 440
1 55 1299 443
1 56 1313 448
1 57 1333 458
1 58 1367 465
1 59 1376 469
1 60 1387 472
1 61 1464 503
1 62 1480 509
1 63 1529 524
1 64 1547 530
1 65 1633 553
1 66 1669 565
1 67 1712 580
1 68 1713 580
1 69 1721 584
1 70 1754 597
1 71 1769 599
1 72 1786 606
1 73 1800 609
1 74 1818 615
1 75 1864 633
1 76 1876 637
1 77 1877 638
1 78 1924 654
1 79 1948 663
1 80 1988 677
1 81 2008 683
1 82 2014 684
1 83 2023 687
1 84 2035 689
1 85 2088 707
1 86 2093 709
1 87 2095 709
1 88 2116 717
1 89 2118 718
1 90 2124 723
1 91 2129 724
1 92 2167 738
1 93 2186 747
1 94 2236 761
1 95 2247 766
1 96 2252 766
1 97 2296 779
1 98 2301 781
1 99 2423 815
1 100 2460 831
1 101 2502 846
1 102 2503 846
1 103 2599 887
1 104 2602 888
1 105 2625 895
1 106 2640 899
1 107 2647 900
1 108 2654 902
1 109 2672 907
1 110 2681 910
1 111 2710 921
1 112 2761 938
1 113 2787 946
1 114 2795 950
1 115 2797 951
1 116 2808 956
1 117 2814 958
1 118 2850 970
1 119 2891 980
1 120 2904 985
1 121 2919 990
1 122 2976 1014
1 123 2990 1016
1 124 3049 1036
1 125 3071 1044
1 126 3101 1054
1 127 3132 1063
1 128 3187 1078
1 129 3222 1093
1 130 3249 1100
1 131 3304 1120
1 132 3349 1134
1 133 3366 1141
1 134 3387 1150
1 135 3447 1171
1 136 3451 1173
1 137 3457 1174
1 138 3482 1186
1 139 3513 1197
1 140 3523 1198
1 141 3533 1202
1 142 3543 1205
1 143 3609 1227
1 144 3628 1236
1 145 3685 1253
1 146 3732 1267
1 147 3742 1268
1 148 3758 1272
1 149 3781 1278
1 150 3787 1279
1 151 3839 1298
1 152 3870 1308
1 153 3879 1310
1 154 3880 1310
1 155 3881 1310
1 156 3887 1312
1 157 3935 1330
1 158 3940 1331
1 159 3951 1334
1 160 3968 1340
1 161 3975 1341
1 162 3980 1347
1 163 4079 1379
1 164 4169 1413
1 165 4256 1438
1 166 4320 1459
1 167 4330 1462
1 168 4356 1471
1 169 4396 1482
1 170 4467 1508
1 171 4503 1520
1 172 4527 1532
1 173 4554 1540
1 174 4583 1551
1 175 4594 1554
1 176 4602 1555
1 177 4619 1558
1 178 4662 1573
1 179 4673 1575
1 180 4676 1575
1 181 4812 1621
1 182 4834 1628
1 183 4865 1639
1 184 4898 1652
1 185 4928 1662
1 186 4996 1690
