#data counter step time
1 1 151 56
1 2 173 66
1 3 259 100
1 4 310 116
1 5 396 140
1 6 456 160
1 7 469 163
1 8 512 177
1 9 555 189
1 10 609 206
1 11 704 240
1 12 809 277
1 13 835 286
1 14 838 287
1 15 862 298
1 16 926 317
1 17 932 319
1 18 949 324
1 19 1238 423
1 20 1243 424
1 21 1294 442
1 22 1344 460
1 23 1473 506
1 24 1515 520
1 25 1522 523
1 26 1710 580
1 27 1813 614
1 28 1928 656
1 29 1958 666
1 30 2066 700
1 31 2163 736
1 32 2257 767
1 33 2305 782
1 34 2333 790
1 35 2422 815
1 36 2425 815
1 37 2443 823
1 38 2459 829
1 39 2659 902
1 40 2725 928
1 41 2849 970
1 42 2965 1009
1 43 3007 1020
1 44 3140 1064
1 45 3142 1065
1 46 3165 1069
1 47 3277 1112
1 48 3344 1133
1 49 3400 1154
1 50 3421 1161
1 51 3462 1176
1 52 3569 1214
1 53 3572 1214
1 54 3714 1262
1 55 3845 1300
1 56 3922 1324
1 57 3994 1352
1 58 4067 1377
1 59 4073 1378
1 60 4264 1441
1 61 4332 1463
1 62 4462 1505
1 63 4590 1553
1 64 4667 1574
1 65 4683 1577
1 66 4745 1596
1 67 4985 1686
1 68 4999 1691
